λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3800.9	Se	III	7000	9						
4046.7	Se	III	8500	204						
4070.2	Se	II	4500	151						
4083.2	Se	III	3000	120						
4169.1	Se	III	2500	442						
4175.3	Se	II	2000	420						
4180.9	Se	II	2000	454						
4328.7	Se	I	3000	1341						
4330.3	Se	I	3000	1370						
4382.9	Se	II	8500	3958						
4446.0	Se	II	4500	2218						
4449.2	Se	II	6500	3201						
4467.6	Se	II	5000	2335						
4637.9	Se	III	1500	935						
4730.8	Se	I	5000	2915						
4739.0	Se	I	4000	2334						
4742.2	Se	I	2500	1456						
4840.6	Se	II	5500	3643						
4845.0	Se	II	5500	3708						
5227.5	Se	II	5000	4446						
5305.4	Se	II	3500	3397						
5365.5	Se	I	900	867						
5369.9	Se	I	1500	1231						
5374.1	Se	I	1000	1071						
5522.4	Se	II	2000	2033						
5566.9	Se	II	1500	1501						
5866.3	Se	II	255	221						
6056.0	Se	II	930	681						
6303.8	Se	III	660	335						
6325.6	Se	I	1000	514						
6444.2	Se	II	300	113						
6490.5	Se	II	765	250						
6535.0	Se	II	630	181						
6831.3	Se	I	885	97						
6990.69	Se	I	525	29						
6991.792	Se	I	345	20						
7010.809	Se	I	870	44						
7013.875	Se	I	705	35						
7062.065	Se	I	2000	84						
7575.1	Se	I	165	-						
7583.4	Se	I	210	-						
7592.2	Se	I	120	-						
