λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3806.54	Si	III	50	-	3s.4p	3P°2	175336.26	3s.4d	3D3	201599.48
3806.7	Si	III	7	-	3s.4p	3P°2	175336.26	3s.4d	3D2	201598.28
3806.779	Si	III	7	-	3s.4p	3P°2	175336.26	3s.4d	3D1	201597.73
3835.18	Si	III	7	-	3p.4s	1P°1	228699.75	3s.8d	1D2	254766.75
3842.46	Si	III	35	-	3s.5p	1P°1	214532.17	3s.6d	1D2	240549.77
3851.751	Si	III	7	-	3p.3d	3P°2	216190.24	3s.7s	3S1	242145.1
3853.66	Si	II	570	1	3s.3p2	2D3/2	55309.35	3s2.4p	2P°3/2	81251.32
3856.02	Si	II	55	-	3s.3p2	2D5/2	55325.18	3s2.4p	2P°3/2	81251.32
3862.6	Si	II	50	-	3s.3p2	2D3/2	55309.35	3s2.4p	2P°1/2	81191.34
3866.417	Si	III	7	-	3p.3d	3P°1	216288.69	3s.7s	3S1	242145.1
3874.9	Si	VIII	7	-	2s.2p4	2S1/2	504630.0	2s.2p4	2P3/2	530430.0
3875.646	Si	III	8	-	3p.3d	3P°0	216350.26	3s.7s	3S1	242145.1
3905.523	Si	I	180	1	3s2.3p2	1S0	15394.37	3s2.3p.4s	1P°1	40991.884
3924.47	Si	III	30	-	3s.4f	1F°3	204828.06	3s.5g	1G4	230302.01
3947.49	Si	III	65	-	3s.5p	3P°2	214989.27	3s.6d	3D3	240314.63
3952.23	Si	III	10	-	3s.5p	3P°2	214989.27	3s.6d	3D2	240284.28
3953.071	Si	III	10	-	3s.5p	3P°1	214994.65	3s.6d	3D2	240284.28
3955.671	Si	III	10	-	3s.5p	3P°2	214989.27	3s.6d	3D1	240262.28
3955.74	Si	II	105	1						
3956.513	Si	III	10	-	3s.5p	3P°1	214994.65	3s.6d	3D1	240262.28
3956.64	Si	III	10	-	3s.5p	3P°0	214995.46	3s.6d	3D1	240262.28
3963.585	Si	III	10	-	3s.4d	3D1	201597.73	3p.4s	3P°2	226820.28
3963.671	Si	III	10	-	3s.4d	3D2	201598.28	3p.4s	3P°2	226820.28
3963.84	Si	III	70	-	3s.4d	3D3	201599.48	3p.4s	3P°2	226820.28
3977.46	Si	II	120	1						
3981.178	Si	III	15	-	3s.4p	1P°1	176487.19	3s.4d	3D2	201598.28
3981.24	Si	III	60	-	3s.4p	1P°1	176487.19	3s.4d	3D1	201597.73
3991.77	Si	II	30	-						
3998.01	Si	II	150	2						
4010.148	Si	III	20	-	3s.4d	3D1	201597.73	3p.4s	3P°1	226527.42
4010.236	Si	III	20	-	3s.4d	3D2	201598.28	3p.4s	3P°1	226527.42
4030.75	Si	III	30	1	3s.4d	3D1	201597.73	3p.4s	3P°0	226400.0
4031.39	Si	IV	30	-	2p6.6p	2P°1/2	305641.1	2p6.8s	2S1/2	330439.66
4038.06	Si	IV	70	1	2p6.6p	2P°3/2	305682.27	2p6.8s	2S1/2	330439.66
4064.7	Si	VI	70	2	2s2.2p4.(3P).3p	4P°3/2	1069854.0	2s2.2p4.(1S).3s	2S1/2	1094449.0
4065.377	Si	III	70	2	3s.6p	1P°1	234387.64	3p.4p	1S0	258978.66
4072.709	Si	II	70	2	3s2.3d	2D3/2	79338.5	3s2.5p	2P°3/2	103885.25
4075.45	Si	II	1000	49	3s2.3d	2D5/2	79355.02	3s2.5p	2P°3/2	103885.25
4076.78	Si	II	930	37	3s2.3d	2D3/2	79338.5	3s2.5p	2P°1/2	103860.74
4088.8	Si	XI	70	3	1s2.2p.4p	3D3	3180500.0	1s2.2p.4d	3P°2	3204950.0
4088.85	Si	IV	600	28	2p6.4s	2S1/2	193978.89	2p6.4p	2P°3/2	218428.67
4088.862	Si	IV	210	10	2p6.4s	2S1/2	193978.89	2p6.4p	2P°3/2	218428.67
4101.86	Si	III	225	12						
4102.42	Si	III	345	20	3s.4d	1D2	204330.79	3p.4s	1P°1	228699.75
