λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3800.89	Sm	II	165	-						
3805.63	Sm	II	50	-						
3808.46	Sm	II	50	-						
3809.75	Sm	II	75	-						
3809.88	Sm	II	75	-						
3810.43	Sm	II	75	-						
3812.07	Sm	II	150	-						
3813.63	Sm	II	80	-						
3814.63	Sm	II	40	-						
3824.18	Sm	II	75	-						
3826.2	Sm	II	135	-						
3830.29	Sm	II	510	1						
3831.5	Sm	II	150	-						
3833.83	Sm	II	165	-						
3834.48	Sm	I	55	-						
3834.6	Sm	II	270	-						
3835.72	Sm	II	165	-						
3838.94	Sm	II	180	-						
3840.45	Sm	II	180	-						
3843.5	Sm	II	120	-						
3847.51	Sm	II	135	-						
3848.78	Sm	II	2000	4						
3851.88	Sm	II	135	-						
3853.3	Sm	I	70	-						
3854.21	Sm	II	3000	5						
3854.56	Sm	I	70	-						
3855.9	Sm	II	225	-						
3857.91	Sm	II	150	-						
3858.74	Sm	I	300	1						
3862.05	Sm	II	135	-						
3862.23	Sm	II	135	-						
3865.24	Sm	II	150	-						
3871.78	Sm	II	405	1						
3875.19	Sm	II	825	2						
3875.54	Sm	II	165	-						
3880.77	Sm	II	675	2						
3881.38	Sm	II	165	-						
3881.79	Sm	II	345	1						
3882.5	Sm	II	420	1						
3885.29	Sm	II	855	2	4f6.(7F).6s	8F13/2	3909.62	4f6.(7F).6p?	°13/2	29640.51
3889.16	Sm	II	70	-						
3890.08	Sm	II	165	-						
3891.21	Sm	II	870	2						
3894.05	Sm	II	255	1						
3896.98	Sm	II	870	3						
3903.42	Sm	II	1000	3						
3917.44	Sm	II	300	1						
3922.4	Sm	II	825	3	4f6.(7F).6s	8F11/2	3052.65	4f6.(7F).6p?	°11/2	28540.12
3928.28	Sm	II	735	3						
3935.76	Sm	II	315	1						
3941.87	Sm	II	465	2						
3943.24	Sm	II	360	2						
3946.51	Sm	II	330	2						
3948.11	Sm	II	405	2						
3951.89	Sm	I	75	-						
3959.53	Sm	II	315	2						
3963.0	Sm	II	300	2						
3966.04	Sm	II	345	2						
3967.68	Sm	II	45	-						
3970.53	Sm	II	80	1						
3971.4	Sm	II	270	2						
3974.66	Sm	I	75	1						
3976.27	Sm	II	195	2						
3976.43	Sm	II	120	1						
3979.2	Sm	II	240	2						
3983.14	Sm	II	420	3						
3986.68	Sm	II	1000	11						
3987.43	Sm	II	20	-						
3990.0	Sm	II	60	1						
3990.02	Sm	I	2	-	4f6.6s2	7F5	3125.46	4f5.(6F°).5d.6s2	7F°4	28180.95
3993.31	Sm	II	150	1						
4003.46	Sm	II	435	5						
4007.48	Sm	II	885	11						
4019.98	Sm	II	300	4						
4023.23	Sm	II	285	4						
4035.11	Sm	II	375	7						
4041.68	Sm	II	150	3						
4042.72	Sm	II	55	1						
4042.9	Sm	II	55	1						
4044.11	Sm	II	20	-						
4045.05	Sm	II	50	1						
4046.16	Sm	II	40	1						
4047.16	Sm	II	1000	26						
4048.62	Sm	II	10	-						
4049.81	Sm	II	85	2						
4058.87	Sm	II	360	10						
4063.54	Sm	II	135	4						
4064.32	Sm	II	195	6						
4064.58	Sm	II	195	6						
4066.74	Sm	II	255	8						
4068.33	Sm	II	450	15						
4075.84	Sm	II	240	10						
4076.65	Sm	II	150	6						
4080.56	Sm	II	75	3						
4082.6	Sm	II	65	3						
4083.58	Sm	II	420	17						
4084.4	Sm	II	150	6						
4092.27	Sm	II	210	10						
4094.05	Sm	II	90	4						
4104.13	Sm	II	105	6						
4107.28	Sm	II	30	2						
4109.4	Sm	II	55	4						
4110.19	Sm	II	40	3						
4113.9	Sm	II	135	9						
4118.55	Sm	II	375	30						
4121.36	Sm	II	135	11						
4122.51	Sm	II	105	9						
4123.96	Sm	II	240	20						
4129.23	Sm	II	180	18						
4135.14	Sm	II	210	23						
4147.71	Sm	II	195	27						
4149.83	Sm	II	435	58						
4152.21	Sm	II	330	45						
4153.33	Sm	II	210	29						
4155.22	Sm	II	210	32						
4169.48	Sm	II	540	100						
4171.57	Sm	II	270	50						
4178.02	Sm	II	255	55						
4181.1	Sm	II	645	136						
4183.33	Sm	I	50	10						
4183.76	Sm	II	360	77						
4188.13	Sm	II	480	117						
4191.93	Sm	II	225	54						
4199.45	Sm	II	495	137						
4202.92	Sm	II	135	36						
4203.05	Sm	II	180	47						
4206.13	Sm	II	165	50						
4206.62	Sm	II	85	25						
4210.35	Sm	II	450	136						
4220.66	Sm	II	855	285						
4225.33	Sm	II	450	159						
4229.7	Sm	II	420	152						
4234.57	Sm	II	570	202						
4236.74	Sm	II	525	199						
4237.66	Sm	II	495	191						
4244.7	Sm	II	675	257						
4249.55	Sm	II	255	102						
4251.78	Sm	II	645	259						
4256.39	Sm	II	570	236	4f6.(7F).6s	8F11/2	3052.65	4f6.(7F).6p?	°13/2	29640.51
4258.58	Sm	II	180	77						
4262.68	Sm	II	720	303						
4265.08	Sm	II	225	95						
4279.68	Sm	II	390	171						
4279.94	Sm	II	195	85						
4280.79	Sm	II	765	335	4f6.(7F).6s	8F13/2	3909.62	4f6.(7F).6p?	°15/2	27263.25
4282.21	Sm	I	55	25						
4282.83	Sm	I	75	32						
4283.5	Sm	I	105	48						
4286.64	Sm	II	360	162						
4292.18	Sm	II	375	167						
4296.74	Sm	I	405	182	4f6.6s2	7F6	4020.66	4f6.(7F).6s.6p.(1P°)	7G°7	27287.58
4304.94	Sm	II	435	200						
4309.01	Sm	II	900	413						
4312.85	Sm	I	90	41						
4318.94	Sm	II	1500	659						
4319.53	Sm	I	240	110						
4323.28	Sm	II	600	278						
4324.46	Sm	I	95	45						
4329.02	Sm	II	1500	680						
4330.02	Sm	I	390	181						
4334.15	Sm	II	960	445						
