λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3801.0108	Sn	I	2500	3	5s2.5p2	1D2	8612.955	5s2.5p.6s	3P°1	34914.282
3841.3756	Sn	II	65	-	5s2.6p	2P°3/2	72377.4484	5s2.8s	2S1/2	98402.412
3906.8	Sn	III	1	-	4d10.5s.5d	1D2	154115.52	4d10.4f.5s	1F°3	179703.52
3962.0	Sn	III	1	-	4d10.5s.6p	3P°2	161439.5	4d10.5s.7s	3S1	186674.1
3984.6	Sn	II	1	-	5s2.4f	2F°7/2	89288.255	5s2.11g	2G7/2	114378.1
4110.3	Sn	II	7	-	5s2.4f	2F°7/2	89288.255	5s2.10g	2G9/2	113610.5
4111.3	Sn	II	7	1	5s2.4f	2F°5/2	89294.055	5s2.10g	2G7/2	113610.5
4164.8	Sn	II	4	1	5s2.6d	2D3/2	90241.554	5s.5p.(3P°).6s	4P°5/2	114245.75
4172.2	Sn	II	5	1	5s2.7d	2D3/2	100284.111	5s.5p.(3P°).5d	4P°3/2	124245.66
4216.2	Sn	II	4	1	5s2.6d	2D3/2	90241.554	5s.5p.(3P°).6s	2P°1/2	113952.44
4293.3	Sn	II	4	2	5s2.4f	2F°7/2	89288.255	5s2.9g	2G9/2	112574.0
4294.33	Sn	II	8	3	5s2.4f	2F°5/2	89294.055	5s2.9g	2G7/2	112574.0
4330.2	Sn	III	165	74	4d10.5s.6s	3S1	139639.1	4d10.5s.6p	1P°1	162726.6
4524.7344	Sn	I	4500	2174	5s2.5p2	1S0	17162.499	5s2.5p.6s	1P°1	39257.053
4579.06	Sn	II	30	15	5s2.4f	2F°7/2	89288.255	5s2.8g	2G9/2	111120.8
4579.9	Sn	II	7	4	5s2.4f	2F°5/2	89294.055	5s2.10d	2D3/2	111122.6
4580.22	Sn	II	30	15	5s2.4f	2F°5/2	89294.055	5s2.8g	2G7/2	111120.8
4585.8	Sn	III	180	93	4d10.5s.6s	3S1	139639.1	4d10.5s.6p	3P°2	161439.5
4670.7	Sn	III	4	2	4d10.5s.5d	3D1	141321.43	4d10.5s.6p	1P°1	162726.6
4715.8	Sn	III	4	2	4d10.5s.5d	3D2	141526.24	4d10.5s.6p	1P°1	162726.6
4792.0732	Sn	II	15	9	5s2.5d	2D3/2	71406.142	5s2.7p	2P°3/2	92268.106
4858.4	Sn	III	45	31	4d10.5s.6s	3S1	139639.1	4d10.5s.6p	3P°1	160216.8
4877.209	Sn	II	70	48	5s2.5d	2D3/2	71406.142	5s2.7p	2P°1/2	91903.945
4924.2	Sn	III	2	1	4d10.5s.6s	3S1	139639.1	4d10.5s.6p	3P°0	159940.7
4944.2562	Sn	II	120	94	5s2.5d	2D5/2	72048.26	5s2.7p	2P°3/2	92268.106
5020.4	Sn	III	8	6	4d10.5s.5d	3D2	141526.24	4d10.5s.6p	3P°2	161439.5
5071.09	Sn	II	55	46	5s2.4f	2F°7/2	89288.255	5s2.7g	2G7/2	109002.3
5071.63	Sn	II	15	11	5s2.4f	2F°5/2	89294.055	5s2.9d	2D3/2	109006.1
5072.62	Sn	II	55	46	5s2.4f	2F°5/2	89294.055	5s2.7g	2G7/2	109002.3
5100.3	Sn	III	90	77	4d10.5s.5d	3D3	141837.98	4d10.5s.6p	3P°2	161439.5
5225.0	Sn	III	3	3	4d10.5s.6s	1S0	143591.87	4d10.5s.6p	1P°1	162726.6
5291.2	Sn	III	5	5	4d10.5s.5d	3D1	141321.43	4d10.5s.6p	3P°1	160216.8
5332.3391	Sn	II	165	158	5s2.6p	2P°1/2	71493.273	5s2.6d	2D3/2	90241.554
5349.1	Sn	III	3	3	4d10.5s.5d	3D2	141526.24	4d10.5s.6p	3P°1	160216.8
5369.4	Sn	III	15	14	4d10.5s.5d	3D1	141321.43	4d10.5s.6p	3P°0	159940.7
5561.9101	Sn	II	210	210	5s2.6p	2P°3/2	72377.4484	5s2.6d	2D5/2	90351.894
5588.8152	Sn	II	255	262	5s2.5d	2D3/2	71406.142	5s2.4f	2F°5/2	89294.055
5596.2644	Sn	II	20	21	5s2.6p	2P°3/2	72377.4484	5s2.6d	2D3/2	90241.554
5631.6758	Sn	I	1000	1041	5s2.5p2	1S0	17162.499	5s2.5p.6s	3P°1	34914.282
5753.5531	Sn	I	30	28	5s2.5p.6s	1P°1	39257.053	5s2.5p.4f	3D2	56632.797
5761.7295	Sn	I	20	20	5s2.5p.6s	3P°1	34914.282	5s2.5p.4f	1D2	52265.373
5796.9078	Sn	II	3	3	5s2.5d	2D5/2	72048.26	5s2.4f	2F°5/2	89294.055
5798.86	Sn	II	20	16	5s2.5d	2D5/2	72048.26	5s2.4f	2F°7/2	89288.255
5925.3039	Sn	I	195	164	5s2.5p.6s	3P°2	38628.876	5s2.5p.7p	1D2	55500.973
5965.84	Sn	II	2	2	5s2.7p	2P°3/2	92268.106	5s2.9d	2D5/2	109025.72
5970.2915	Sn	I	120	102	5s2.5p.6s	3P°2	38628.876	5s2.5p.7p	3S1	55373.835
6013.2	Sn	III	2	1	4d10.5s.6s	1S0	143591.87	4d10.5s.6p	3P°1	160216.8
6037.6043	Sn	I	180	135	5s2.5p.6s	3P°2	38628.876	5s2.5p.7p	3P2	55187.151
6069.117	Sn	I	85	61	5s2.5p.6s	3P°0	34640.758	5s2.5p.7p	3P1	51113.059
6077.6331	Sn	II	40	29	5s2.4f	2F°7/2	89288.255	5s2.6g	2G7/2	105737.482
6079.7696	Sn	II	35	24	5s2.4f	2F°5/2	89294.055	5s2.6g	2G7/2	105737.482
6149.6035	Sn	I	165	107	5s2.5p.6s	3P°1	34914.282	5s2.5p.7p	3D2	51170.993
