λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3802.313	Sr	IV	6	-	4s2.4p4.(3P0).6p	2[1]°1/2	359197.56	4s2.4p4.(3P1).6d	2[2]3/2	385489.76
3804.205	Sr	IV	3	-	4s2.4p4.(3P2).5f	2[2]°5/2	378524.75	4s2.4p4.(3P2).6g	2[3]7/2	404803.93
3806.849	Sr	IV	5	-	4s2.4p4.(3P1).6p	2[2]°3/2	359228.65	4s2.4p4.(3P1).6d	2[2]3/2	385489.76
3807.208	Sr	IV	20	-	4s2.4p4.(3P2).6p	2[2]°5/2	349952.33	4s2.4p4.(3P2).6d	2[3]7/2	376210.74
3807.424	Sr	I	150	-	5s.5p	3P°1	14504.334	5s.8s	3S1	40761.372
3812.02	Sr	I	165	-	5s.4d	3D3	18319.261	5s.9f	3F°4	44544.63
3812.044	Sr	I	65	-	5s.4d	3D3	18319.261	5s.9f	3F°3	44544.44
3818.379	Sr	IV	6	-	4s2.4p4.(1D).4f	2D°5/2	351166.74	4s2.4p4.(3P2).6d	2[4]7/2	377348.64
3821.969	Sr	III	40	-	4p5.(2P°3/2).4f	2[3/2]1	279824.21	4p5.(2P°3/2).5g	2[5/2]°2	305981.33
3823.539	Sr	IV	3	-	4s2.4p4.(1D).4f	2P°3/2	352075.62	4s2.4p4.(3P2).6d	2[0]1/2	378221.92
3826.373	Sr	IV	8	-	4s2.4p4.(3P1).6p	2[1]°1/2	361194.32	4s2.4p4.(3P0).6d	2[2]3/2	387321.32
3827.187	Sr	IV	10	-	4s2.4p4.(1D2).6p	2[3]°5/2	370570.27	4s2.4p4.(1D2).6d	2[4]7/2	396691.71
3828.506	Sr	IV	8	-	4s2.4p4.(1D2).5s	2[2]5/2	250046.76	4s2.4p4.(3P2).5p	2[2]°3/2	276159.16
3832.341	Sr	IV	10	-	4s2.4p4.(3P2).6p	2[1]°3/2	350211.08	4s2.4p4.(3P2).6d	2[2]5/2	376297.31
3838.874	Sr	III	20	-	4p5.(2P°3/2).4f	2[3/2]2	280180.56	4p5.(2P°3/2).5g	2[7/2]°3	306222.46
3843.325	Sr	I	165	-	5s.4d	3D1	18159.04	5s.8f	3F°2	44170.8
3850.58	Sr	IV	15	-	4s2.4p4.(3P1).6p	2[2]°3/2	359228.65	4s2.4p4.(3P1).6d	2[3]5/2	385191.43
3851.681	Sr	IV	15	-	4s2.4p4.(3P0).6p	2[1]°3/2	360770.07	4s2.4p4.(3P0).6d	2[2]5/2	386725.54
3852.144	Sr	I	210	-	5s.4d	3D2	18218.784	5s.8f	3F°3	44170.99
3855.882	Sr	III	30	-	4p5.(2P°1/2).4d	2[5/2]°3	199916.0	4p5.(2P°3/2).5p	2[5/2]3	225843.11
3859.136	Sr	IV	25	-	4s2.4p4.(3P2).6p	2[3]°5/2	351443.45	4s2.4p4.(3P2).6d	2[4]7/2	377348.64
3865.451	Sr	I	150	-	5s.5p	3P°2	14898.545	5s.8s	3S1	40761.372
3867.067	Sr	I	6	-	5s.4d	3D3	18319.261	5s.8f	3F°4	44171.32
3874.261	Sr	III	50	-	4p5.(2P°3/2).4f	2[3/2]2	280180.56	4p5.(2P°3/2).5g	2[5/2]°3	305984.65
3874.75	Sr	III	20	-	4p5.(2P°3/2).4f	2[3/2]2	280180.56	4p5.(2P°3/2).5g	2[5/2]°2	305981.33
3877.627	Sr	IV	6	-	4s2.4p4.(3P2).6p	2[2]°3/2	353899.14	4s2.4p4.(3P2).7s	2[2]3/2	379680.74
