λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3826.849	Ta	I	135	-	5d3.6s2	a 4F5/2	2010.1	5d3.6s.(5F).6p	y 4D°5/2	28133.88
3833.74	Ta	II	1000	2						
3918.512	Ta	I	50	-	5d3.6s2	a 4F3/2	0.0	5d3.6s.(5F).6p	y 4D°1/2	25512.63
3970.098	Ta	I	150	1	5d3.6s2	a 4F3/2	0.0	5d3.6s.(5F).6p	z 6F°5/2	25181.12
3996.171	Ta	I	135	2	5d3.6s2	a 4P1/2	6049.42	5d3.6s.(5P).6p	z 6P°3/2	31066.34
3999.283	Ta	I	40	-	5d3.6s2	a 4P3/2	6068.91	5d3.6s.(5P).6p	z 6P°3/2	31066.34
4026.944	Ta	I	60	1	5d3.6s2	a 4P3/2	6068.91	5d3.6s.(5P).6p	z 4S°3/2	30894.67
4030.668	Ta	I	15	-	5d3.6s2	a 4F7/2	3963.92	5d3.6s.(5F).6p	z 6D°9/2	28766.65
4040.87	Ta	I	80	2	5d3.6s2	a 4F9/2	5621.04	5d3.6s.(5F).6p	z 6F°11/2	30361.22
4061.399	Ta	I	95	3	5d3.6s2	a 4P1/2	6049.42	5d3.6s.(5P).6p	y 6D°3/2	30664.66
4064.63	Ta	I	75	2	5d3.6s2	a 4P3/2	6068.91	5d3.6s.(5P).6p	y 6D°3/2	30664.66
4067.235	Ta	I	80	3	5d3.6s2	a 4F5/2	2010.1	5d2.6s2.(3P).6p	z 4P°?3/2	26590.03
4067.908	Ta	I	195	7	5d3.6s2	a 4F5/2	2010.1	5d3.6s.(5F).6p	z 6F°7/2	26585.93
4105.021	Ta	I	40	3	5d3.6s2	a 4F5/2	2010.1	5d3.6s.(5F).6p	y 4D°3/2	26363.69
4136.198	Ta	I	1000	129	5d3.6s2	a 4F7/2	3963.92	5d3.6s.(5F).6p	y 4D°5/2	28133.88
4175.206	Ta	I	420	90	5d3.6s2	a 4P5/2	9253.43	5d3.6s.(5P).6p	z 6P°7/2	33197.75
4205.876	Ta	I	585	179	5d3.6s2	a 4F7/2	3963.92	5d3.6s.(5F).6p	z 6F°9/2	27733.43
4206.404	Ta	I	270	82	5d3.6s.(5F).6p	z 6G°3/2	17384.65	5d3.6s.(5F).7s	e 6F1/2	41151.26
4268.255	Ta	I	375	162	5d3.6s.(5F).6p	z 6G°7/2	20560.26	5d3.6s.(5F).7s	e 6F7/2	43982.43
4302.978	Ta	I	765	352	5d3.6s2	a 4P5/2	9253.43	5d3.6s.(5P).6p	y 6D°5/2	32486.75
4355.145	Ta	I	570	267	5d3.6s.(5F).6p	z 6G°9/2	22681.71	5d3.6s.(5F).7s	e 6F9/2	45636.83
4378.822	Ta	I	495	235	5d3.6s2	a 4F7/2	3963.92	5d3.6s.(5F).6p	z 6D°5/2	26794.76
4398.449	Ta	I	405	195	5d3.6s2	a 4F5/2	2010.1	5d3.6s.(5F).6p	z 6D°3/2	24739.03
4402.498	Ta	I	1000	477	5d3.6s2	a 4P5/2	9253.43	5d3.6s.(5P).6p	z 6P°5/2	31961.42
4441.029	Ta	I	435	211	5d4.(5D).6s	a 6D3/2	9975.81	5d3.6s.(5P).6p	y 6D°5/2	32486.75
4441.678	Ta	I	735	351	5d3.6s2	a 2G9/2	10690.32	5d3.6s.(5P).6p	z 6P°7/2	33197.75
4511.503	Ta	I	1500	844	5d3.6s2	a 4F9/2	5621.04	5d3.6s.(5F).6p	z 6D°7/2	27780.62
4521.094	Ta	I	1000	516	5d3.6s2	a 4F9/2	5621.04	5d3.6s.(5F).6p	z 6F°9/2	27733.43
4530.846	Ta	I	1500	778	5d3.6s2	a 4P3/2	6068.91	5d3.6s.(5F).6p	y 4D°5/2	28133.88
4547.149	Ta	I	780	394	5d4.(5D).6s	a 6D3/2	9975.81	5d3.6s.(5P).6p	z 6P°5/2	31961.42
4551.95	Ta	I	2000	1050	5d3.6s2	a 4F7/2	3963.92	5d3.6s.(5F).6p	z 4F°9/2	25926.34
4553.694	Ta	I	1000	525	5d4.(5D).6s	a 6D5/2	11243.63	5d3.6s.(5P).6p	z 6P°7/2	33197.75
4574.306	Ta	I	1500	798	5d3.6s2	a 4F3/2	0.0	5d3.6s.(5F).6p	z 4F°3/2	21855.07
