λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3814.67	Tc		35	-						
3816.89	Tc		55	-						
3824.47	Tc		55	-						
3828.54	Tc		90	-						
3830.35	Tc		35	-						
3832.45	Tc		35	-						
3832.82	Tc		105	-						
3837.56	Tc		270	-						
3841.31	Tc		150	-						
3845.97	Tc		150	-						
3847.6	Tc		90	-						
3851.22	Tc		55	-						
3856.73	Tc		90	-						
3863.07	Tc		35	-						
3864.11	Tc		75	-						
3868.24	Tc	I	180	-	4d6.(3H).5s	4H9/2	17328.02	4d6.(3H).5p	4I°11/2	43172.19
3875.66	Tc		35	-						
3879.16	Tc	I	95	-	4d6.(1I).5s	2I11/2	24564.76	4d6.(1I).5p	2I°11/2	50336.22
3880.72	Tc		120	-						
3892.12	Tc		60	-						
3893.22	Tc	I	40	-	4d5.5s2	4G11/2	16025.15	4d6.(3H).5p	2G°9/2	41703.59
3899.83	Tc		135	-						
3919.38	Tc		70	-						
3923.66	Tc		75	-						
3927.57	Tc		50	-						
3933.7	Tc		50	-						
3946.57	Tc		1000	6						
3947.09	Tc		540	3						
3955.73	Tc		55	-						
3979.64	Tc		90	1						
3980.35	Tc		150	1						
3984.97	Tc		3000	24						
3987.78	Tc	I	120	1	4d6.(3G).5s	4G11/2	20639.36	4d5.(6S).5s.(7S).5d	4°9/2	45708.77
3994.04	Tc		95	1						
3994.51	Tc		630	6						
3996.97	Tc		65	1						
4004.69	Tc		95	1						
4007.14	Tc		165	2						
4012.0	Tc		315	4						
4016.68	Tc		135	2						
4017.22	Tc		195	3						
4020.76	Tc		645	9						
4031.63	Tc		6500	111						
4039.25	Tc		330	7						
4041.78	Tc		65	1						
4049.11	Tc		3500	78						
4051.95	Tc		165	4						
4053.18	Tc		65	2						
4056.08	Tc		65	2						
4083.54	Tc		120	5						
4088.71	Tc		3000	150						
4093.69	Tc		65	3						
4095.67	Tc		4500	265						
4110.22	Tc		300	20						
4115.08	Tc		3000	241						
4119.27	Tc		180	14						
4124.22	Tc		2500	188						
4128.27	Tc		285	28						
4134.81	Tc		85	8						
4139.12	Tc		85	9						
4139.85	Tc		225	25						
4141.27	Tc		105	13						
4144.95	Tc	I	1500	185	4d6.(5D).5s	6D7/2	3250.91	4d6.(5D).5p	6D°9/2	27369.79
4145.08	Tc	I	810	110	4d6.(5D).5s	6D1/2	4178.75	4d6.(5D).5p	6D°1/2	28296.67
4147.62	Tc		55	7						
4165.61	Tc		2500	457						
4167.42	Tc		120	23						
4169.68	Tc	I	240	45	4d6.(3H).5s	4H13/2	16553.39	4d5.(4G).5s.(5G).5p	4H°13/2	40529.4
4170.27	Tc		960	179						
4172.53	Tc		1000	221						
4176.28	Tc		240	50						
4186.51	Tc		195	47						
4218.61	Tc		105	35						
4238.19	Tc		5000	1814						
4262.27	Tc	I	8000	3299	4d5.5s2	6S5/2	0.0	4d5.(6S).5s.(7S).5p	6P°5/2	23455.21
4262.69	Tc		390	163						
4274.97	Tc		285	122						
4278.9	Tc		285	125						
4297.06	Tc		10000	4570						
4336.86	Tc		95	45						
4358.49	Tc		75	36						
4359.26	Tc		40	18						
4429.59	Tc		210	97						
4481.53	Tc		300	142						
4487.06	Tc		915	442						
4495.03	Tc		120	62						
4515.98	Tc		345	171						
4522.84	Tc		3500	1746						
4539.53	Tc	I	735	369	4d6.(5D).5s	4D5/2	11063.07	4d6.(5D).5p	4D°5/2	33085.69
4542.09	Tc	I	150	74	4d6.(3D).5s	2D5/2	20686.26	4d6.(3G).5p	4G°5/2	42696.45
4552.2	Tc		150	76						
4552.85	Tc		300	152						
4557.05	Tc		375	192						
4564.54	Tc		765	386						
4578.45	Tc		375	196						
4593.35	Tc		405	212						
4609.16	Tc		135	71						
4616.86	Tc		465	246						
4622.69	Tc		95	50						
4624.96	Tc		135	75						
4630.57	Tc		465	251						
4633.15	Tc		95	50						
4637.5	Tc	I	1500	751	4d6.(5D).5s	4D5/2	11063.07	4d6.(5D).5p	4D°7/2	32620.38
4643.28	Tc	I	225	123	4d5.(6S).5s.(7S).5p	6P°5/2	23455.21	4d5.(6S).5s.(7S).5d	f 6D7/2	44985.53
4648.33	Tc		870	484						
4660.21	Tc		810	451						
4669.3	Tc		735	419						
4672.17	Tc	I	150	81	4d6.(3D).5s	4D3/2	19702.77	4d5.(4P).5s.(5P).5p	6P°5/2	41100.21
4678.9	Tc		65	38						
4689.36	Tc		120	66						
4694.28	Tc		80	46						
4706.92	Tc		225	130						
4714.22	Tc		45	25						
4717.77	Tc		420	253						
4719.02	Tc		105	63						
4719.28	Tc		840	505						
4736.51	Tc		40	25						
4740.61	Tc		2000	1222						
4749.61	Tc		95	60						
4752.72	Tc		195	119						
4762.36	Tc		40	23						
4771.54	Tc		735	461						
4773.89	Tc	I	35	23	4d6.(3G).5s	4G11/2	20639.36	4d6.(3H).5p	4G°11/2	41580.75
4783.92	Tc		35	24						
4785.6	Tc		95	61						
4790.48	Tc		40	25						
4791.62	Tc		50	31						
4799.98	Tc		60	40						
4805.69	Tc		20	14						
4809.42	Tc		20	14						
4816.79	Tc		105	72						
4820.74	Tc		2000	1469						
4831.35	Tc		70	46						
4834.37	Tc		225	153						
4835.39	Tc		225	155						
4841.36	Tc		25	16						
4853.59	Tc		4500	3190						
4857.21	Tc		25	16						
4862.19	Tc		25	16						
4866.73	Tc		2500	1614						
4870.77	Tc		45	32						
4888.7	Tc		20	16						
4890.88	Tc		35	23						
4891.92	Tc		1500	1239						
4892.49	Tc	I	35	23	4d6.(3G).5s	2G9/2	22180.1	4d6.(3G).5p	2H°9/2	42613.9
4908.51	Tc		210	147						
4909.57	Tc		405	293						
4913.02	Tc	I	100	72	4d6.(5D).5s	4D3/2	11578.6	4d6.(5D).5p	4P°5/2	31927.01
4914.7	Tc		30	21						
4920.67	Tc		40	28						
4923.6	Tc		55	41						
4948.06	Tc		600	456						
4976.34	Tc	I	1000	789	4d5.(6S).5s.(7S).5p	8P°9/2	17522.92	4d5.(6S).5s.(7S).6s	e 8S7/2	37612.4
4995.0	Tc		85	67						
5002.67	Tc		45	34						
5005.74	Tc		20	17						
5014.52	Tc		45	36						
5026.24	Tc		375	301						
5026.79	Tc		95	76						
5027.89	Tc		35	28						
5032.45	Tc		20	15						
5055.27	Tc		75	61						
5058.33	Tc		15	12						
5060.69	Tc		435	358						
5090.74	Tc		20	17						
5096.28	Tc	I	1500	1070	4d6.(5D).5s	4D7/2	10516.53	4d6.(5D).5p	6F°9/2	30133.26
5103.24	Tc	I	90	77	4d5.(6S).5s.(7S).5p	6P°7/2	23265.32	4d6.(5D).6s	e 6D9/2	42855.24
5104.32	Tc		570	473						
5109.81	Tc		300	257						
5120.6	Tc		25	22						
5139.26	Tc		540	466						
5150.63	Tc	I	390	341	4d6.(5D).5s	6D1/2	4178.75	4d5.(6S).5s.(7S).5p	6P°3/2	23588.4
5161.81	Tc	I	645	559	4d6.(3P2).5s	4P5/2	13252.74	4d6.(5D).5p	4D°7/2	32620.38
5174.81	Tc		690	603						
5206.56	Tc		40	38						
