λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3800.92	Te	II	720	1	5s2.5p2.(3P).6p	2S°1/2	97780.09	5s.(2S).5p4.(3P)	2P3/2	124082.07
3905.672	Te	II	960	3						
3918.534	Te	II	20	-	5s.(2S).5p4.(1D)	2D3/2	86759.9	5s2.5p2.(1D).6p	2D°3/2	112272.43
3931.487	Te	II	20	-						
3947.98	Te	II	40	-	5s2.5p2.(3P).5d	4P3/2	100740.75	5s2.5p2.(3P).4f	4F°5/2	126063.01
3969.222	Te	II	40	-	5s.(2S).5p4.(1D)	2D3/2	86759.9	5s2.5p2.(1D).6p	2D°5/2	111946.69
3975.936	Te	II	35	-	5s.(2S).5p4.(1D)	2D5/2	87404.54	5s2.5p2.(1D).6p	2F°5/2	112548.84
3981.766	Te	II	35	-	5s2.5p2.(3P).6s	2P3/2	88961.09	5s2.5p2.(1D).6p	2P°1/2	114068.52
4006.519	Te	II	270	3	5s.(2S).5p4.(3P)	4P5/2	71192.526	5s2.5p2.(3P).6p	4D°3/2	96144.74
4011.691	Te	II	75	1	5s.(2S).5p4.(3P)	4P1/2	76300.87	5s2.5p2.(3P).6p	2D°3/2	101220.97
4029.73	Te	II	30	1	5s2.5p2.(1D).5d	2G7/2	100835.8	5s2.5p2.(3P).4f	4F°9/2	125644.34
4047.168	Te	II	25	1	5s2.5p2.(3P).5d	4P3/2	100740.75	5s2.5p2.(3P).4f	2D°3/2	125442.46
4048.882	Te	II	120	3	5s.(2S).5p4.(3P)	4P3/2	74893.4	5s2.5p2.(3P).6p	4S°3/2	99584.59
4073.474	Te	II	465	15	5s.(2S).5p4.(1D)	2D5/2	87404.54	5s2.5p2.(1D).6p	2D°5/2	111946.69
4101.045	Te	II	70	4	5s2.5p2.(1D).5d	2S1/2	101065.37	5s2.5p2.(3P).4f	2D°3/2	125442.46
4127.319	Te	II	45	4	5s2.5p2.(1D).5d	2S1/2	101065.37	5s2.5p2.(3P).4f	4D°1/2	125287.32
4163.551	Te	II	100	16	5s2.5p2.(3P).5d	4P1/2	102127.22	5s2.5p2.(3P).4f	4D°3/2	126138.35
4169.77	Te	II	210	38	5s2.5p2.(3P).5d	2D3/2	102244.6	5s2.5p2.(3P).4f	2F°5/2	126219.97
4179.286	Te	II	150	33	5s2.5p2.(3P).5d	4P1/2	102127.22	5s2.5p2.(1S).6p	2P°1/2	126047.99
4211.312	Te	II	40	12	5s2.5p2.(3P).6p	2S°1/2	97780.09	5s2.5p2.(3P).6d	4D3/2	121518.93
4225.728	Te	II	150	52	5s2.5p2.(3P).5d	4P5/2	99229.68	5s2.5p2.(3P).4f	4D°5/2	122887.62
4246.469	Te	II	40	17	5s2.5p2.(3P).6p	4D°5/2	100112.1	5s2.5p2.(3P).6d	4D7/2	123654.56
4251.148	Te	II	195	79	5s2.5p2.(3P).5d	2D5/2	102703.5	5s2.5p2.(3P).4f	2F°5/2	126219.97
4261.112	Te	II	840	348						
4264.36	Te	II	85	35						
4273.429	Te	II	195	83	5s2.5p2.(3P).6p	2S°1/2	97780.09	5s2.5p2.(3P).7s	2P3/2	121173.94
4285.854	Te	II	195	85	5s2.5p2.(3P).6p	2S°1/2	97780.09	5s2.5p2.(3P).6d	4D1/2	121106.21
4320.898	Te	II	255	118						
4361.285	Te	II	105	52	5s2.5p2.(3P).6s	4P1/2	78448.22	5s2.5p2.(3P).6p	4P°1/2	101370.86
4364.0	Te	II	870	413	5s2.5p2.(3P).5d	4P5/2	99229.68	5s2.5p2.(3P).4f	4D°7/2	122137.9
4377.119	Te	II	150	69	5s2.5p2.(3P).6s	4P3/2	82743.33	5s2.5p2.(3P).6p	2D°5/2	105583.02
4385.102	Te	II	105	48	5s2.5p2.(3P).5d	4P5/2	99229.68	5s2.5p2.(3P).4f	2D°5/2	122027.77
4395.997	Te	II	195	93	5s2.5p2.(3P).6p	4P°5/2	102324.49	5s2.5p2.(3P).6d	4P3/2	125066.06
4478.63	Te	II	1000	559	5s2.5p2.(3P).6p	4P°5/2	102324.49	5s2.5p2.(3P).6d	4D5/2	124646.39
4537.07	Te	II	75	38	5s2.5p2.(3P).5d	4P3/2	100740.75	5s2.5p2.(3P).4f	4F°3/2	122775.2
4557.784	Te	II	465	236	5s2.5p2.(3P).6p	4S°3/2	99584.59	5s2.5p2.(3P).6d	4D3/2	121518.93
4630.623	Te	II	65	35	5s2.5p2.(3P).6p	4S°3/2	99584.59	5s2.5p2.(3P).7s	2P3/2	121173.94
4641.125	Te	II	90	50	5s2.5p2.(3P).6p	4D°7/2	103105.86	5s2.5p2.(3P).6d	4D5/2	124646.39
4654.37	Te	II	1000	613	5s.(2S).5p4.(3P)	4P1/2	76300.87	5s2.5p2.(3P).6p	2S°1/2	97780.09
4686.905	Te	II	525	307	5s2.5p2.(3P).6p	4P°5/2	102324.49	5s2.5p2.(3P).6d	4D7/2	123654.56
4696.382	Te	II	95	56	5s2.5p2.(3P).5d	4P3/2	100740.75	5s2.5p2.(3P).4f	2D°5/2	122027.77
4706.535	Te	II	150	85	5s2.5p2.(1D).6s	2D5/2	94860.63	5s2.5p2.(1D).6p	2P°3/2	116101.71
4766.055	Te	II	330	205	5s2.5p2.(3P).6p	2D°3/2	101220.97	5s2.5p2.(3P).6d	2F5/2	122196.84
4771.557	Te	II	105	67	5s2.5p2.(3P).6p	4D°5/2	100112.1	5s2.5p2.(3P).6d	4F5/2	121063.8
4784.867	Te	II	135	90	5s2.5p2.(1D).6s	2D3/2	95208.37	5s2.5p2.(1D).6p	2P°3/2	116101.71
4827.138	Te	II	85	59	5s2.5p2.(3P).6p	4P°3/2	103935.9	5s2.5p2.(3P).6d	4D5/2	124646.39
4831.277	Te	II	1500	930	5s2.5p2.(3P).6p	4D°3/2	96144.74	5s2.5p2.(3P).6d	4P5/2	116837.31
4842.895	Te	II	85	58	5s2.5p2.(3P).5d	2D3/2	102244.6	5s2.5p2.(3P).4f	4D°5/2	122887.62
4865.119	Te	II	85	61	5s2.5p2.(3P).6p	4D°7/2	103105.86	5s2.5p2.(3P).6d	4D7/2	123654.56
4866.235	Te	II	1500	971	5s2.5p2.(3P).6p	4D°7/2	103105.86	5s2.5p2.(3P).6d	4F9/2	123649.92
4885.221	Te	II	180	131						
4904.437	Te	II	195	144	5s2.5p2.(3P).6p	2D°5/2	105583.02	5s2.5p2.(3P).6d	2F7/2	125967.1
4961.885	Te	II	945	715	5s2.5p2.(3P).6p	4P°1/2	101370.86	5s2.5p2.(3P).6d	4D3/2	121518.93
5000.818	Te	II	450	352	5s2.5p2.(3P).6s	4P5/2	85591.83	5s2.5p2.(3P).6p	2D°5/2	105583.02
