λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3800.113	Th	II	225	-	5f.6d.(1G°).7s	°9/2	9238.02035	5f2.(3H).6d	4I9/2	35545.5867
3800.3721	Th	II	105	-	5f.6d.(3F°).7s	4F°5/2	7331.48541	5f2.(3F).6d	7/2	39458.284
3800.5895	Th	II	45	-	5f.(2F°).6d2.(3F)	4H°13/2	19912.3404	5f.6d.(3F°).7p	11/2	46216.5809
3801.3211	Th	II	225	-	5f.(2F°).6d2.(3F)	4I°9/2	14275.57661	5f.6d.(3H°).7p	11/2	40574.7511
3801.9175	Th	II	105	-	5f.(2F°).6d2.(3F)	4I°9/2	14275.57661	5f.6d.(3F°).7p	7/2	40570.631
3802.1481	Th	II	180	-	5f.6d.(3G°).7s	4G°5/2	9585.40432	5f.6d.(1G°).7p	7/2	36809.2811
3803.07488	Th	I	330	-	6d2.7s2	3F2	0.0	6d2.7s.7p	3D°1	26287.0494
3803.369	Th	II	1	-	5f.6d.(3F°).7s	2F°5/2	12472.17734	5f2.(1D).7s	3/2	38757.1817
3804.335	Th	II	6	-	5f.(2F°).6d2.(3F)	4I°13/2	18816.8664	5f.6d.(3H°).7p	4I15/2	45095.2362
3804.9944	Th	II	5	-	6d2.(1D).7s	2D3/2	12219.97621	6d2.(3P).7p	°5/2	37846.1686
3805.3141	Th	II	390	-	5f.6d.(1F°).7s	°7/2	18973.77768	5f2.6d+5f.6d.7p	7/2	42751.3291
3805.3461	Th	II	15	-	5f.(2F°).6d2.(3P)	4D°7/2	27249.54521	5f2.6d+5f.6d.7p	9/2	49837.6587
3805.81969	Th	II	450	1	5f.6d.(3F°).7s	4F°3/2	6691.3873	5f.6d.(1D°).7p	3/2	32959.478
3805.9689	Th	II	20	-	5f.(2F°).6d2.(3F)	°11/2	25414.92113	5f2.6d+5f.6d.7p	9/2	49837.6587
3806.23	Th	II	2	-	5f.(2F°).6d2.(3P)	°5/2	40654.4654	5f2.6d+5f.6d.7p	7/2	42751.3291
3806.2661	Th	II	4	-	6d3	2D25/2	20158.73957	6d.7s.(3D).7p	°3/2	37601.7026
3807.6694	Th	II	6	-	5f.(2F°).6d2.(3F)	°3/2	19050.82932	5f.6d.7p	3/2	52307.4829
3807.87431	Th	II	225	-	5f.6d.(1G°).7s	2G°7/2	9202.26506	5f.6d.(1G°).7p	9/2	41047.2077
3808.1294	Th	II	225	-	5f.6d.(3F°).7s	4F°9/2	12488.28836	5f2.(3F).6d	11/2	39939.1147
3808.5128	Th	II	2	-	5f.(2F°).6d2.(3F)	°5/2	20310.94225	5f2.6d	3/2	47869.6034
3808.6878	Th	II	2	-	5f.6d.(3D°).7s	°3/2	12902.37757	5f.6d.(3F°).7p	3/2	39150.6794
3809.0868	Th	II	225	-	5f.6d.(1D°).7s	2D°3/2	11576.40136	5f.7s.(3F°).7p	3/2	37821.9631
3809.132	Th	II	2	-	5f.(2F°).6d2.(3F)	4H°9/2	15242.89888	5f2.6d+5f.6d.7p	7/2	42751.3291
3809.8349	Th	II	180	-	5f.6d.(3H°).7s	2H°11/2	14484.32431	5f2.(3H).6d	13/2	40724.7328
3810.2951	Th	II	7	-	5f.6d.(3H°).7s	°9/2	6700.18627	5f.6d.(1G°).7p	7/2	36809.2811
3810.4995	Th	II	2	-	5f.(2F°).6d2.(3P)	°5/2	40654.4654	5f.6d.(1P°).7p	3/2	51676.0629
3810.558	Th	II	180	-	5f.6d.(3D°).7s	4D°7/2	15453.03596	5f2.6d+5f.6d.7p	7/2	42751.3291
3810.9034	Th	I	1	-	6d2.7s2	3F4	4961.658832	5f.6d3	5I°4	31194.70265
3811.358	Th	II	450	1	5f.(2F°).6d2.(3F)	°9/2	17722.98541	5f2.6d+5f.6d.7p	7/2	42751.3291
3811.975	Th	II	1	-	5f.6d.(3D°).7s	2D°3/2	15710.84204	5f2.(3F).6d	3/2	41936.5335
3813.06742	Th	II	450	1	5f.6d.(1G°).7s	°9/2	9238.02035	5f.6d.(1G°).7p	9/2	41047.2077
3813.3252	Th	II	2	-	5f.(2F°).6d2.(3F)	°5/2	20310.94225	5f2.6d+5f.6d.7p	5/2	51935.6876
