λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3801.0805	Ti	I	165	-	3d3.(2G).4s	a 3G4	15156.802	3d.4s2.4p	s 3F°3	41457.639
3801.1616	Ti	I	15	-	3d2.(3F).4s.4p.(3P°)	z 3F°3	19421.58	3d2.4s.(2F).4d	f 3H4	45721.863
3801.5549	Ti	I	80	-	3d3.(2P).4s	a 1P1	20062.886	3d3.(2P).4p	1P°1	46360.447
3801.908	Ti	I	60	-	3d3.(4P).4s	c 3P2	18911.394	3d3.(4F).5p	n 3D°3	45206.499
3803.416	Ti	I	55	-	3d3.(2H).4s	a 3H6	18192.57	3d3.(4F).5p	5F°5	44477.256
3805.0978	Ti	I	90	-	3d2.(3F).4s.4p.(3P°)	z 5F°2	16875.124	3d2.4s.(4F).4d	g 5F3	43148.1922
3805.188	Ti	I	35	-	3d3.(4P).4s	c 3P0	18818.099	3d2.4s.(2P).4p	3P°1	45090.509
3805.462	Ti	I	90	-	3d2.4s2	a 3F4	386.874	3d3.(4F).4p	y 5G°4	26657.416
3806.043	Ti	I	25	-	3d3.(4P).4s	c 3P2	18911.394	3d2.4s.(2P).4p	3P°2	45177.966
3806.305	Ti	I	30	-	3d3.(4P).4s	c 3P1	18825.782	3d2.4s.(2P).4p	3P°1	45090.509
3806.442	Ti	I	165	-	3d2.(3F).4s.4p.(3P°)	z 5F°1	16817.16	3d2.4s.(4F).4d	g 5F2	43080.9622
3806.5857	Ti	I	45	-	3d2.(3F).4s.4p.(3P°)	z 5G°5	16267.48	3d2.4s.(4F).4d	3H6	42530.2894
3806.7022	Ti	I	50	-	3d2.(3F).4s.4p.(3P°)	z 5G°4	16106.076	3d2.4s.(4F).4d	3H5	42368.0934
3807.1998	Ti	I	90	-	3d2.(3F).4s.4p.(3P°)	z 3F°4	19573.974	3d2.4s.(2F).4d	f 3H5	45832.546
3807.7549	Ti	I	55	-	3d2.(3F).4s.4p.(3P°)	z 5F°4	17075.258	3d2.4s.(4F).4d	g 5F5	43330.0066
3810.0198	Ti	I	6	-	3d2.(3F).4s.4p.(3P°)	z 5G°3	15975.631	3d2.4s.(4F).4d	3H4	42214.7689
3810.156	Ti	I	30	-	3d3.(4P).4s	c 3P1	18825.782	3d3.(4F).5p	n 3D°2	45063.941
3810.727	Ti	I	35	-	3d3.(2H).4s	a 3H5	18141.265	3d2.4s.(4F).5p	3G°5	44375.5
3811.4005	Ti	I	285	-	3d3.(2G).4s	a 3G3	15108.111	3d.4s2.4p	s 3F°2	41337.748
3811.617	Ti	I	20	-	3d3.(2H).4s	a 3H5	18141.265	3d3.(4F).5p	5F°4	44369.406
3812.818	Ti	I	30	-	3d3.(2H).4s	a 3H4	18037.213	3d2.4s.(4F).5p	3G°4	44257.098
3813.2691	Ti	I	135	-	3d2.(3F).4s.4p.(3P°)	z 5F°1	16817.16	3d2.4s.(4F).4d	g 5F1	43033.933
3813.3882	Ti	II	225	-	3d2.(3F).4s	a 2F7/2	4897.7179	3d2.(3F).4p	z 4F°7/2	31113.6764
3813.516	Ti	I	20	-	3d3.(4P).4s	c 3P1	18825.782	3d2.4s.(2P).4p	3P°0	45040.849
3813.877	Ti	I	10	-	3d3.(4F).4s	b 3F3	11639.8109	3d3.(2D2).4p	u 3F°4	37852.437
3813.936	Ti	I	10	-	3d3.(4F).4s	b 3F2	11531.761	3d3.(2D2).4p	u 3F°3	37743.962
3814.5796	Ti	II	405	1	3d2.(3F).4s	a 2F5/2	4628.6571	3d2.(3F).4p	z 4F°3/2	30836.425
3814.8603	Ti	I	345	-	3d2.(3F).4s.4p.(3P°)	z 5F°2	16875.124	3d2.4s.(4F).4d	g 5F2	43080.9622
3816.178	Ti	III	25	-	3p6.3d.4d	3F3	133207.1	3p6.3d.4f	3D°2	159403.91
3817.6415	Ti	I	165	-	3d2.(3F).4s.4p.(3P°)	z 5F°3	16961.442	3d2.4s.(4F).4d	g 5F3	43148.1922
3818.1988	Ti	I	225	-	3d3.(2H).4s	a 3H6	18192.57	3d2.4s.(4F).5p	3G°5	44375.5
3821.7214	Ti	I	225	-	3d2.(3F).4s.4p.(3P°)	z 5F°2	16875.124	3d2.4s.(4F).4d	g 5F1	43033.933
3822.0227	Ti	I	210	-	3d2.(3F).4s.4p.(3P°)	z 5F°4	17075.258	3d2.4s.(4F).4d	g 5F4	43231.9903
3822.8606	Ti	I	65	-	3d3.(2D2).4s	b 1D2	20209.447	3d3.(2P).4p	1P°1	46360.447
3826.9685	Ti	I	135	-	3d3.(4F).4s	b 3F2	11531.761	3d3.(2D2).4p	u 3F°2	37654.69
3827.1102	Ti	II	30	-	3d2.(1D).4p	y 2D°5/2	39476.9244	3d2.(3F).4d	f 2F7/2	65598.8926
3827.4684	Ti	I	35	-	3d2.(3F).4s.4p.(3P°)	z 5F°3	16961.442	3d2.4s.(4F).4d	g 5F2	43080.9622
3827.6362	Ti	I	55	-	3d3.(2H).4s	a 3H4	18037.213	3d2.4s.(4F).5p	3G°3	44155.596
3828.0098	Ti	I	70	-	3d3.(2H).4s	a 3H5	18141.265	3d2.4s.(4F).5p	3G°4	44257.098
3828.1875	Ti	I	405	1	3d2.(3F).4s.4p.(3P°)	z 5F°5	17215.39	3d2.4s.(4F).4d	g 5F5	43330.0066
3828.735	Ti	III	8	-	3p6.3d.4d	3F4	133371.07	3p6.3d.4f	3D°3	159481.95
3829.0523	Ti	I	6	-	3d2.(3F).4s.4p.(3P°)	z 5G°4	16106.076	3d2.4s.(4F).4d	3H4	42214.7689
3829.7225	Ti	I	80	-	3d3.(4F).4s	b 3F3	11639.8109	3d3.(2D2).4p	u 3F°3	37743.962
3831.6834	Ti	I	10	-	3d2.(3F).4s.4p.(3P°)	z 5F°2	16875.124	3d4	3F13	42965.9148
3832.044	Ti	I	25	-	3d3.(2P).4s	b 3P2	18145.286	3d2.4s.(4F).5p	o 3D°3	44233.62
3833.1841	Ti	I	135	-	3d2.(3F).4s.4p.(3P°)	z 3F°2	19322.984	3d2.4s.(2F).4d	3G3	45403.556
3833.6745	Ti	I	55	-	3d2.(3F).4s.4p.(3P°)	z 3F°3	19421.58	3d2.4s.(2F).4d	3G4	45498.815
