λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3832.3	Tl	II	40	-						
3869.15	Tl	II	20	-						
3887.15	Tl	II	35	-						
3933.05	Tl	III	20	-						
3946.02	Tl	III	7	-						
4109.85	Tl	III	20	1						
4155.75	Tl	III	10	2						
4223.05	Tl	II	25	8						
4269.81	Tl	III	20	8						
4274.98	Tl	II	100	42						
4306.8	Tl	II	40	18						
4359.9	Tl	I	5	2						
4380.57	Tl	III	5	2						
4490.77	Tl	II	25	12						
4737.05	Tl	II	40	24						
4981.35	Tl	II	15	11						
5078.54	Tl	II	30	24						
5086.99	Tl	III	4	3						
5152.14	Tl	II	50	42						
5181.95	Tl	II	10	9						
5183.1	Tl	II	10	9						
5350.46	Tl	I	5000	4707	6s2.6p	2P°3/2	7792.7	6s2.7s	2S1/2	26477.5
5362.4	Tl	III	4	3						
5384.85	Tl	II	6	6						
5409.92	Tl	II	10	12						
5410.97	Tl	II	5	5						
5499.4	Tl	III	2	2						
5927.8	Tl	III	6	5						
5949.48	Tl	II	35	28						
6179.98	Tl	II	100	61						
6239.03	Tl	II	9	5						
6378.32	Tl	II	10	4						
6549.84	Tl	I	300	81						
6713.8	Tl	I	100	17						
6966.5	Tl	II	40	2						
7493.6	Tl	I	7	-						
