λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3802.074	Tm	I	510	1	4f12.(3H6).5d3/2.6s2	(6,3/2)11/2	15587.811	4f12.5d.6s.6p	°9/2	34457.853
3803.144	Tm	I	90	-	4f12.(3H6).5d3/2.6s2	(6,3/2)11/2	15587.811	4f12.5d.6s.6p	°11/2	33638.74
3807.719	Tm	I	70	-	4f13.(2F°).6s2	2F°5/2	8771.243	4f13.(2F°5/2).6s.6p.(1P°1)	5/2	35026.22
3810.72	Tm	II	195	-						
3817.39	Tm	II	330	-						
3826.386	Tm	I	45	-	4f13.(2F°).6s2	2F°7/2	0.0	4f13.(2F°5/2).6s.6p.(3P°1)	(5/2,1)5/2	26126.907
3826.667	Tm	I	45	-	4f12.(3H6).5d3/2.6s2	(6,3/2)9/2	13119.61	4f12.5d.6s.6p	°9/2	34457.853
3830.267	Tm	I	40	-	4f12.(3H6).5d3/2.6s2	(6,3/2)9/2	13119.61	4f13.(2F°7/2).6s.6d.(3D)	3[11/2]°9/2	39220.035
3830.394	Tm	I	40	-	4f12.(3H6).5d3/2.6s2	(6,3/2)11/2	15587.811	4f12.5d.6s.6p	°11/2	33638.74
3838.2	Tm	II	255	-						
3847.836	Tm	I	15	-	4f12.(3H6).5d3/2.6s2	(6,3/2)11/2	15587.811	4f12.5d.6s.6p	°11/2	33638.74
3848.02	Tm	II	1000	2	4f13.(2F°7/2).6s1/2	(7/2,1/2)°4	0.0	4f13.6p	3	25980.02
3857.84	Tm	II	35	-						
3863.081	Tm	I	25	-	4f12.(3H6).5d5/2.6s2	(6,5/2)15/2	18693.074	4f12.5d.6s.6p	°17/2	41299.37
3881.249	Tm	I	35	-	4f12.(3H6).5d3/2.6s2	(6,3/2)9/2	13119.61	4f12.5d.6s.6p	°11/2	33638.74
3883.132	Tm	I	210	1	4f13.(2F°).6s2	2F°7/2	0.0	4f13.(2F°7/2).6s.6p.(1P°1)	5/2	25745.117
3883.44	Tm	II	315	1						
3887.348	Tm	I	180	-	4f13.(2F°).6s2	2F°7/2	0.0	4f12.(3H5).5d5/2.6s2	(5,5/2)7/2	25717.197
3890.53	Tm	II	90	-						
3896.617	Tm	I	35	-	4f13.(2F°).6s2	2F°7/2	0.0	4f13.(2F°5/2).6s.6p.(3P°0)	(5/2,0)5/2	25656.019
3900.79	Tm	II	195	1						
3916.477	Tm	I	225	1	4f13.(2F°).6s2	2F°5/2	8771.243	4f13.(2F°5/2).6s.6p.(1P°1)	(5/2,1)7/2	34297.17
3917.144	Tm	I	40	-	4f12.(3H6).5d3/2.6s2	(6,3/2)11/2	15587.811	4f12.5d.6s.6p	°9/2	34457.853
3921.446	Tm	I	70	-	4f12.(3H6).5d3/2.6s2	(6,3/2)11/2	15587.811	4f12.5d.6s.6p	°11/2	33638.74
3928.66	Tm	II	50	-						
3929.58	Tm	II	225	1						
3937.282	Tm	I	135	1	4f13.(2F°7/2).6s.6p.(3P°0)	(7/2,0)7/2	16742.237	4f12.5d.6s.6p	°7/2	34365.624
3939.089	Tm	I	95	-	4f12.(3H6).5d3/2.6s2	(6,3/2)9/2	13119.61	4f12.5d.6s.6p	°9/2	34457.853
3949.27	Tm	I	165	1	4f13.(2F°).6s2	2F°5/2	8771.243	4f13.(2F°5/2).6s.6p.(1P°1)	(5/2,1)5/2	34085.2
3956.492	Tm	I	30	-	4f12.(3H6).5d3/2.6s2	(6,3/2)11/2	15587.811	4f12.5d.6s.6p	°9/2	34457.853
3958.1	Tm	II	690	4						
3976.679	Tm	I	510	4	4f13.(2F°7/2).6s.6p.(3P°0)	(7/2,0)7/2	16742.237	4f12.5d.6s.6p	°9/2	34457.853
3995.58	Tm	II	240	3						
3996.52	Tm	II	465	5						
3998.84	Tm	III	85	1						
4010.124	Tm	I	15	-	4f12.(3H6).5d3/2.6s2	(6,3/2)11/2	15587.811	4f12.5d.6s.6p	°9/2	34457.853
4021.92	Tm	III	50	1						
4022.595	Tm	I	65	1	4f13.(2F°).6s2	2F°5/2	8771.243	4f12.(3F2).5d5/2.6s2	7/2	33623.78
4025.615	Tm	I	180	3	4f13.(2F°7/2).6s.6p.(3P°0)	(7/2,0)7/2	16742.237	4f12.5d.6s.6p	°9/2	34457.853
4026.03	Tm	III	65	1						
4026.37	Tm	I	80	1	4f12.(3H6).5d5/2.6s2	(6,5/2)7/2	16957.006	4f12.5d.6s.6p	°9/2	34457.853
4032.13	Tm	III	300	5						
4033.894	Tm	I	25	-	4f13.(2F°7/2).6s.6p.(3P°0)	(7/2,0)7/2	16742.237	4f12.5d.6s.6p	°7/2	34365.624
4041.762	Tm	I	45	1	4f12.(3H6).5d3/2.6s2	(6,3/2)11/2	15587.811	4f12.5d.6s.6p	°9/2	34457.853
4044.474	Tm	I	80	2	4f13.(2F°).6s2	2F°5/2	8771.243	4f12.(3F2).5d5/2.6s2	(5/2,2)3/2	33489.36
4055.809	Tm	I	315	9	4f12.(3H6).5d3/2.6s2	(6,3/2)9/2	13119.61	4f12.5d.6s.6p	°9/2	34457.853
4060.478	Tm	I	25	1	4f12.(3H6).5d3/2.6s2	(6,3/2)11/2	15587.811	4f12.(3F3).6s2.6p3/2	(3,3/2)°9/2	40208.499
4060.737	Tm	I	25	1	4f12.(3H6).5d5/2.6s2	(6,5/2)7/2	16957.006	4f12.5d.6s.6p	°9/2	34457.853
4074.111	Tm	I	45	1	4f12.(3H6).5d3/2.6s2	(6,3/2)9/2	13119.61	4f12.5d.6s.6p	°11/2	33638.74
4076.15	Tm	III	35	1						
4077.221	Tm	I	85	3	4f13.(2F°7/2).6s.6p.(3P°1)	(7/2,1)9/2	17613.659	4f12.5d.6s.6p	°7/2	34365.624
4094.187	Tm	I	510	24	4f13.(2F°).6s2	2F°7/2	0.0	4f13.(2F°7/2).6s.6p.(1P°1)	(7/2,1)5/2	24418.018
4100.458	Tm	I	4	-	4f13.(2F°7/2).6s.6p.(3P°1)	(7/2,1)5/2	17752.634	4f12.5d.6s.6p	°7/2	34365.624
4102.727	Tm	I	25	1	4f13.(2F°7/2).6s.6p.(3P°0)	(7/2,0)7/2	16742.237	4f12.5d.6s.6p	°9/2	34457.853
4105.841	Tm	I	495	34	4f13.(2F°).6s2	2F°7/2	0.0	4f12.(3H5).5d3/2.6s2	(5,3/2)9/2	24348.692
4107.93	Tm	I	7	-	4f13.(2F°7/2).6s.6p.(3P°0)	(7/2,0)7/2	16742.237	4f13.(2F°7/2).6s.8s.(3S1)	(7/2,1)°9/2	41078.537
4119.475	Tm	I	30	2	4f13.(2F°7/2).6s.6p.(3P°1)	(7/2,1)9/2	17613.659	4f12.5d.6s.6p	°9/2	34457.853
4125.476	Tm	I	55	5	4f13.(2F°7/2).6s.6p.(3P°1)	(7/2,1)7/2	17343.374	4f12.5d.6s.6p	°9/2	34457.853
