λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3808.92	U	I	420	1						
3809.22	U	II	315	-						
3811.99	U	I	375	-						
3813.79	U	II	405	1						
3814.06	U	II	510	1						
3826.51	U	II	960	1						
3831.46	U	II	465	1						
3839.63	U	I	525	1						
3848.6	U	II	165	-						
3854.22	U	I	330	1						
3854.64	U	II	480	1						
3859.57	U	II	480	1						
3861.17	U	II	80	-						
3865.92	U	II	375	1						
3866.8	U	II	375	1						
3871.03	U	I	420	1						
3874.04	U	II	210	-						
3878.08	U	II	105	-						
3881.45	U	II	375	1						
3882.36	U	II	225	1						
3883.28	U	II	225	1						
3890.36	U	II	405	1						
3892.68	U	II	345	1						
3894.12	U	I	330	1						
3896.77	U	II	270	1						
3899.78	U	II	330	1						
3902.55	U	II	180	1						
3904.3	U	II	150	-						
3906.45	U	I	180	1						
3911.67	U	II	165	1						
3915.88	U	II	270	1						
3926.21	U	I	240	1						
3926.72	U	I	80	-						
3930.98	U	II	285	1						
3932.02	U	II	390	2						
3935.38	U	II	135	1						
3940.48	U	II	105	1						
3943.82	U	I	255	1						
3948.44	U	I	105	1						
3953.58	U	II	105	1						
3954.67	U	II	210	1						
3964.21	U	I	30	-						
3966.52	U	II	195	1						
3985.79	U	II	180	2						
3990.42	U	II	120	1						
3992.53	U	II	60	1						
3998.24	U	II	105	1						
4004.06	U	II	120	1						
4005.21	U	I	135	2						
4017.72	U	II	150	2						
4018.99	U	II	150	2						
4042.75	U	I	270	6						
4044.41	U	II	180	4						
4047.61	U	I	135	3						
4050.04	U	II	255	6						
4051.91	U	II	180	4						
4054.3	U	II	105	3						
4058.19	U	II	75	2						
4062.54	U	II	150	4						
4067.75	U	II	165	6						
4071.12	U	II	210	7						
4074.48	U	II	90	3						
4076.69	U	II	90	4						
4080.6	U	II	195	8						
4090.13	U	II	420	20						
4093.03	U	II	315	15						
4106.38	U	II	150	10						
4116.1	U	II	510	41						
4124.73	U	II	480	39						
4128.34	U	II	330	32						
4141.22	U	II	615	71						
4153.97	U	I	375	51						
4156.65	U	I	390	62						
4163.68	U	II	270	44						
4171.59	U	II	870	161						
4189.27	U	II	420	102						
4222.37	U	I	600	200						
4241.67	U	II	2000	776						
4244.37	U	II	1000	410						
4341.69	U	II	2000	984						
4355.74	U	I	840	394						
4362.05	U	I	1500	595						
4393.59	U	I	2000	1034						
4472.33	U	II	6000	2989						
4515.28	U	II	3500	1819						
4543.63	U	II	6000	3024						
4620.21	U	I	1500	794						
4627.07	U	II	3500	1833						
4631.62	U	I	1500	884						
4646.6	U	II	2000	1056						
4666.85	U	II	2000	1053						
4671.4	U	II	1500	827						
4689.07	U	II	4000	2383						
4702.51	U	II	1500	883						
4722.72	U	II	3000	1798						
4731.59	U	II	3000	1827						
4755.74	U	II	1500	809						
4756.81	U	I	1000	669						
4772.7	U	II	2500	1448						
4860.99	U	II	1500	961						
5008.21	U	II	5500	4217						
5027.38	U	I	8000	6425						
5117.24	U	II	2000	1710						
5160.32	U	II	3500	2889						
5164.14	U	I	2500	2166						
5184.57	U	II	2500	2030						
5204.31	U	II	1500	1164						
5247.75	U	II	2000	1733						
5257.04	U	II	2500	2333						
5280.38	U	I	2000	1891						
5386.19	U	II	1000	1023						
5475.7	U	II	900	898						
5480.26	U	II	1000	1001						
5481.2	U	II	1000	1177						
5482.53	U	II	690	688						
5492.95	U	II	2000	2040						
5527.82	U	II	1500	1692						
5564.17	U	I	1500	1747						
5581.59	U	II	405	404						
5620.78	U	I	855	856						
5780.59	U	I	960	900						
5798.53	U	II	855	797						
5836.02	U	I	1000	1015						
5837.68	U	II	1000	1030						
5915.39	U	I	7500	6287						
5971.5	U	I	6500	5313						
5976.32	U	I	7000	5703						
5997.31	U	I	4000	3315						
6017.38	U	II	1000	904						
6051.74	U	II	2500	1864						
6067.22	U	II	2500	1679						
6077.29	U	I	8500	6264						
6087.34	U	II	2000	1528						
6171.86	U	I	4500	2756						
6175.39	U	I	1000	685						
6280.18	U	II	2000	1031						
6359.29	U	I	2500	1010						
6372.46	U	I	3500	1479						
6378.52	U	II	255	106						
6392.77	U	I	825	345						
6395.42	U	I	4000	1534						
6449.16	U	I	2500	933						
6464.98	U	I	1500	490						
6826.92	U	I	6500	715						
6876.74	U	II	2000	191						
7074.79	U	I	2000	76						
7101.61	U	I	825	27						
7128.9	U	I	1500	49						
7147.89	U	I	435	11						
7254.45	U	I	615	9						
7425.5	U	I	1000	6						
7533.93	U	I	1500	3						
