λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3801.16	V	I	10	-	3d3.4s2	a 4F5/2	137.383	3d4.(5D).4p	y 6D°3/2	26437.754
3802.8751	V	I	75	-	3d3.4s2	a 2G7/2	10892.52	3d3.(2H).4s.4p.(3P°)	y 2H°9/2	37180.946
3803.4773	V	I	180	-	3d4.(5D).4s	a 6D7/2	2311.369	3d3.(4P).4s.4p.(3P°)	x 6D°7/2	28595.637
3803.7809	V	I	35	-	3d3.4s2	a 2G7/2	10892.52	3d4.(3H).4p	v 2G°7/2	37174.691
3803.8965	V	I	35	-	3d3.4s2	a 4F7/2	323.432	3d4.(5D).4p	y 6D°7/2	26604.807
3804.577	V	I	20	-	3d4.(3P2).4s	b 4P5/2	15572.035	3d3.(4P).4s.4p.(1P°)	v 4P°3/2	41848.708
3804.9128	V	I	90	-	3d3.4s2	a 2H11/2	15264.832	3d4.(3G).4p	t 2G°9/2	41539.185
3806.46	V	I	8	-	3d4.(3F2).4s	b 4F3/2	15664.801	3d3.(4P).4s.4p.(1P°)	r 4D°1/2	41928.473
3806.7959	V	I	120	-	3d3.4s2	a 2G9/2	11100.596	3d4.(3H).4p	v 2G°9/2	37361.951
3807.5041	V	I	285	-	3d4.(5D).4s	a 6D1/2	2112.282	3d3.(4P).4s.4p.(3P°)	x 6D°3/2	28368.753
3808.11	V	I	10	-	3d3.(4F).4s.4p.(3P°)	z 6D°7/2	18302.28	3d3.4s.(5F).4d	4G9/2	44554.214
3808.307	V	II	1	-	3d3.(4P).4p	y 3S°1	55663.385	3d3.(4P).5s	3P2	81914.329
3808.5188	V	I	180	-	3d3.4s2	a 4F3/2	0.0	3d4.(5D).4p	y 4D°3/2	26249.476
3809.08	V	I	8	-	3d3.(4F).4s.4p.(3P°)	z 6F°9/2	18513.403	3d3.(4F).4s.(3F).5s	4F7/2	44759.239
3809.6007	V	I	255	-	3d4.(5D).4s	a 6D5/2	2220.156	3d3.(4P).4s.4p.(3P°)	x 6D°5/2	28462.177
3810.383	V	I	2	-	3d3.4s2	a 2H11/2	15264.832	3d4.(3G).4p	v 2H°9/2	41501.449
3813.3462	V	I	10	-	3d4.(3H).4s	b 2H11/2	19145.148	45361o	r 2G°9/2	45361.396
3813.4904	V	I	180	-	3d3.4s2	a 4F5/2	137.383	3d4.(5D).4p	y 4D°5/2	26352.634
3815.38226	V	II	540	1	3d3.(2H).4s	a 1H5	23391.1513	3d3.(2G).4p	z 1H°5	49593.4096
3815.5152	V	I	105	-	3d4.(5D).4s	a 6D1/2	2112.282	3d3.(4P).4s.4p.(3P°)	x 6D°1/2	28313.626
3817.8437	V	I	55	-	3d3.4s2	a 4F9/2	552.955	3d4.(5D).4p	y 6D°9/2	26738.323
3817.9756	V	I	25	-	3d3.4s2	a 2G9/2	11100.596	3d4.(3H).4p	z 4I°9/2	37285.057
3818.2413	V	I	70	-	3d3.4s2	a 4F3/2	0.0	3d4.(5D).4p	y 4D°1/2	26182.637
3818.767	V	I	10	-	3d3.4s2	2D23/2	14514.756	3d3.(2P).4s.4p.(3P°)	w 2P°3/2	40693.787
3819.9642	V	I	210	-	3d4.(5D).4s	a 6D9/2	2424.809	3d3.(4P).4s.4p.(3P°)	x 6D°7/2	28595.637
3820.2918	V	I	90	-	3d4.(5D).4s	a 4D5/2	8578.542	3d3.(4F).4s.4p.(1P°)	v 4D°7/2	34747.128
3821.4864	V	I	180	-	3d4.(5D).4s	a 6D3/2	2153.221	3d3.(4P).4s.4p.(3P°)	x 6D°1/2	28313.626
3822.0049	V	I	240	-	3d3.4s2	a 4F7/2	323.432	3d4.(5D).4p	y 4D°7/2	26480.286
3822.6711	V	I	7	-	3d4.(3H).4s	b 2H9/2	19023.531	45175o	r 2G°7/2	45175.832
3822.8887	V	I	135	-	3d4.(5D).4s	a 6D7/2	2311.369	3d3.(4P).4s.4p.(3P°)	x 6D°5/2	28462.177
3823.2121	V	I	120	-	3d4.(5D).4s	a 6D5/2	2220.156	3d3.(4P).4s.4p.(3P°)	x 6D°3/2	28368.753
3823.376	V	I	15	-	3d4.(3F2).4s	b 4F9/2	15770.789	3d4.(3G).4p	t 4G°11/2	41918.255
3823.742	V	I	35	-	3d3.4s2	2D25/2	14548.816	3d3.(2P).4s.4p.(3P°)	w 2P°3/2	40693.787
3823.9773	V	I	120	-	3d4.(5D).4s	a 4D3/2	8476.234	3d3.(4F).4s.4p.(1P°)	v 4D°5/2	34619.598
3824.993	V	I	6	-	3d4.(3F2).4s	b 4F7/2	15724.229	3d4.(3G).4p	t 4G°9/2	41860.647
3825.313	V	I	20	-	3d4.(3H).4s	b 2H9/2	19023.531	3d3.(4F).4s.5p	q 4F°7/2	45157.767
3825.4024	V	I	3	-	3d3.4s2	a 2P3/2	13801.551	3d4.(3F2).4p	s 4D°3/2	39935.176
3826.434	V	I	4	-	3d4.(3F2).4s	a 2F7/2	19078.112	45204o	2D°5/2	45204.697
3826.7696	V	I	40	-	3d4.(5D).4s	a 4D1/2	8413.009	3d3.(4F).4s.4p.(1P°)	v 4D°3/2	34537.299
3826.9688	V	II	85	-	3d3.(2D2).4s	b 3D2	20617.0735	3d3.(4P).4p	z 3P°2	46740.01
3828.5567	V	I	70	-	3d3.4s2	a 4F5/2	137.383	3d4.(5D).4p	y 4D°3/2	26249.476
3828.8315	V	I	50	-	3d3.4s2	a 2G9/2	11100.596	3d3.(2H).4s.4p.(3P°)	y 2H°11/2	37210.818
3829.52	V	II	15	-	3d3.(4F).4s	a 3F2	8640.3641	3d3.(4F).4p	z 5G°3	34745.8281
3829.651	V	II	20	-	3d3.(4F).4s	a 3F3	8842.0507	3d3.(4F).4p	z 5G°4	34946.6366
3830.263	V	I	135	-	3d4.(3D).4s	b 4D7/2	20767.609	3d4.(3D).4p	t 4P°5/2	46868.079
3830.59	V	I	15	-	3d4.(1G2).4s	b 2G9/2	21603.259	3d3.(2G).4s.4p.(1P°)	2H°11/2	47701.807
3831.014	V	II	15	-	3d3.(4F).4s	a 3F4	9097.8891	3d3.(4F).4p	z 5G°5	35193.182
