λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3802.053	W	I	1	-						
3804.244	W	I	2	-						
3809.22	W	I	930	1	5d5.(6S).6s	7S3	2951.29	5d4.6s.(6D).6p	5D°2	29195.84
3817.48	W	I	660	1	5d5.(6S).6s	7S3	2951.29	5d4.6s.(6D).6p	5F°3	29139.12
3817.96	W	I	4	-						
3818.344	W	I	1	-						
3819.04	W	I	1	-						
3819.402	W	I	1	-						
3829.128	W	I	435	1	5d4.6s2	5D1	1670.29	5d4.6s.(6D).6p	5D°1	27778.5
3834.612	W	I	1	-						
3835.058	W	I	705	1	5d4.6s2	5D2	3325.53	5d4.6s.(6D).6p	5P°2	29393.4
3846.218	W	I	690	1	5d4.6s2	5D1	1670.29	5d4.6s.(6D).6p	5F°2	27662.52
3847.02	W	I	1	-						
3847.244	W	I	165	-						
3847.498	W	I	615	1	5d4.6s2	5D0	0.0	5d4.6s.(6D).6p	5F°1	25983.6
3851.5632	W	II	195	-	5d4.(5D).6s	4D1/2	13173.337	5d4.(5D).6p	6F°3/2	39129.46
3853.778	W	I	195	-						
3858.847	W	I	195	-						
3864.343	W	I	360	1	5d4.6s2	5D2	3325.53	5d4.6s.(6D).6p	5D°2	29195.84
3867.544	W	I	1	-						
3867.666	W	I	1	-						
3867.986	W	I	1000	2	5d5.(6S).6s	7S3	2951.29	5d4.6s.(6D).6p	7D°4	28797.24
3868.46	W	I	90	-						
3871.694	W	I	1	-						
3881.405	W	I	540	1	5d4.6s2	5D3	4830.0	5d4.6s.(6D).6p	5P°3	30586.64
3891.252	W	I	225	1	5d4.6s.(6D).6p	7D°2	23964.67	5d4.6s.(6D).7s	5D3	49656.04
3914.16	W	I	80	-						
3915.4651	W	II	135	1	5d4.(3D).6s	4D5/2	23450.418	5d3.(4F).6s.(5F).6p	6D°3/2	48982.939
3939.434	W	I	135	1						
3942.338	W	I	105	1						
3951.0595	W	II	10	-	5d4.(5D).6s	4D3/2	14634.336	5d3.(4F).6s.(5F).6p	6G°5/2	39936.842
3951.876	W	I	95	1						
3952.254	W	I	60	-						
3964.992	W	I	90	1	5d4.6s2	5D4	6219.33	5d4.6s.(6D).6p	5F°4	31432.91
3965.483	W	I	50	-						
3973.29	W	I	35	-	5d4.6s.(6D).6p	7F°1	20064.3	5d4.6s.(6D).7s	5D0	45225.22
3984.1203	W	II	65	1	5d5	2I13/2	31347.087	5d4.(3H).6p	4H°13/2	56439.643
3985.668	W	I	45	-	5d4.6s2	5D3	4830.0	5d4.6s.(6D).6p	5D°3	29912.85
3987.531	W	I	40	-						
3991.227	W	I	70	1	5d4.6s.(6D).6p	7F°2	21448.76	5d4.6s.(6D).7s	7D3	46496.62
3992.756	W	I	55	-						
3993.911	W	I	55	-	5d4.6s.(6D).6p	7F°3	23047.31	5d4.6s.(6D).7s	5D2	48078.32
3998.16	W	I	55	1	5d4.6s.(6D).6p	7D°1	21453.9	5d4.6s.(6D).7s	5D1	46458.3
4002.782	W	I	40	-						
4005.404	W	I	85	1	5d4.6s2	5D1	1670.29	5d4.6s.(6D).6p	5D°0	26629.46
4008.7506	W	I	180	2	5d5.(6S).6s	7S3	2951.29	5d5.(6S).6p	7P°4	27889.68
4010.377	W	I	80	1	5d4.6s.(6D).6p	7F°3	23047.31	5d4.6s.(6D).7s	7D4	47975.54
4016.108	W	I	60	1	5d4.6s.(6D).6p	7F°4	24763.39	5d4.6s.(6D).7s	5D3	49656.04
4019.227	W	I	180	3	5d4.6s2	5D2	3325.53	5d4.6s.(6D).6p	5P°1	28198.9
4022.115	W	I	120	2	5d4.6s.(6D).6p	7F°1	20064.3	5d4.6s.(6D).7s	7D2	44919.84
4022.83	W	I	40	1						
4029.922	W	I	80	1						
4032.382	W	I	85	1						
4045.594	W	I	195	5	5d5.(6S).6s	7S3	2951.29	5d4.6s.(6D).6p	5F°2	27662.52
4046.701	W	II	150	4	5d5	4G9/2	26158.581	5d4.(5D).6p	6F°9/2	50863.106
4065.32	W	I	105	3	5d4.6s.(6D).6p	7F°4	24763.39	5d4.6s.(6D).7s	7D5	49354.68
4069.95	W	I	10	-	5d4.6s2	5D3	4830.0	5d4.6s.(6D).6p	5P°2	29393.4
4070.608	W	I	225	8	5d4.6s2	5D1	1670.29	5d5.(6S).6p	7P°2	26229.77
4074.358	W	I	390	13	5d5.(6S).6s	7S3	2951.29	5d5.(6S).6p	7P°3	27488.11
4081.2927	W	II	495	20	5d4.(5D).6s	4D3/2	14634.336	5d4.(5D).6p	6F°3/2	39129.46
4088.33	W	I	300	14	5d4.6s2	5D2	3325.53	5d4.6s.(6D).6p	5D°1	27778.5
4089.38	W	I	150	7	5d4.6s.(6D).6p	7F°5	26676.48	5d4.6s.(6D).7s	5D4	51123.14
4090.3	W	I	95	5						
4091.04	W	I	120	5						
4091.212	W	I	90	4						
4093.134	W	I	105	5						
4101.845	W	I	60	3						
4102.702	W	I	255	15	5d4.6s2	5D4	6219.33	5d4.6s.(6D).6p	5P°3	30586.64
4107.816	W	I	120	8	5d4.6s2	5D2	3325.53	5d4.6s.(6D).6p	5F°2	27662.52
4111.815	W	I	165	11	5d4.6s2	5D1	1670.29	5d4.6s.(6D).6p	5F°1	25983.6
4118.976	W	I	75	6						
4120.356	W	I	45	4						
4132.472	W	I	180	17						
4137.457	W	I	315	36	5d4.6s2	5D2	3325.53	5d5.(6S).6p	7P°3	27488.11
4142.693	W	I	80	9						
4145.86	W	I	210	28	5d4.6s.(6D).6p	7D°2	23964.67	5d4.6s.(6D).7s	5D2	48078.32
4149.074	W	I	40	5						
4154.664	W	I	375	50	5d4.6s.(6D).6p	7F°0	19389.43	5d4.6s.(6D).7s	7D1	43451.98
4156.064	W	I	1	-						
4159.609	W	I	210	33						
4171.174	W	I	390	73	5d4.6s2	5D3	4830.0	5d4.6s.(6D).6p	7D°4	28797.24
4177.822	W	I	300	64						
4189.149	W	I	315	75						
4203.957	W	I	1	-						
4204.724	W	I	1	-						
4205.55	W	I	705	211	5d4.6s.(6D).6p	7D°1	21453.9	5d4.6s.(6D).7s	5D0	45225.22
4208.888	W	I	2	1						
4209.5	W	I	1	-						
4209.776	W	I	165	52						
4212.886	W	I	450	136						
4219.372	W	I	510	168	5d4.6s2	5D4	6219.33	5d4.6s.(6D).6p	5D°3	29912.85
4225.26	W	I	1	-						
4225.627	W	I	1	-						
4244.364	W	I	240	90	5d4.6s2	5D4	6219.33	5d4.6s.(6D).6p	7D°5	29773.34
4250.812	W	I	2	1						
4259.351	W	I	255	103	5d4.6s.(6D).6p	7F°2	21448.76	5d4.6s.(6D).7s	7D2	44919.84
4260.287	W	I	105	42	5d4.6s.(6D).6p	7D°1	21453.9	5d4.6s.(6D).7s	7D2	44919.84
4263.304	W	I	375	154	5d4.6s.(6D).6p	7F°3	23047.31	5d4.6s.(6D).7s	7D3	46496.62
4264.98	W	I	55	22						
4273.356	W	I	1	-						
4273.85	W	I	1	-						
4274.548	W	I	450	197	5d4.6s.(6D).6p	7F°1	20064.3	5d4.6s.(6D).7s	7D1	43451.98
4277.31	W	I	1	-						
4280.76	W	I	1	1						
4283.8003	W	II	300	130	5d4.(5D).6s	4D3/2	14634.336	5d3.(4F).6s.(5F).6p	6G°3/2	37971.528
4292.149	W	I	30	14						
