λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3800.99	Xe	II	4	-	5p4.(3P1).5d	2[2]5/2	112703.64	5p4.(3P2).4f	2[3]°7/2	139005.27
3801.39	Xe	I	15	-	5p5.(2P°3/2).6s	2[3/2]°2	67067.547	5p5.(2P°3/2).5f	2[3/2]2	93366.245
3801.71	Xe	III	3	-	5s.5p5	1P°1	163527.4	5s2.5p3.(2D°).4f	1D2	189824.07
3801.9	Xe	I	1	-	5p5.(2P°3/2).6s	2[3/2]°2	67067.547	5p5.(2P°3/2).5f	2[3/2]1	93362.671
3802.98	Xe	III	1	-	5s2.5p3.(4S°).4f	3F3	170250.15	5s2.5p3.(2D°).6d	1G°4	196538.07
3803.26	Xe	V	4	-	5s2.5p.(2P°).5d	3P°0	183025.2	5s2.5p.(2P°).4f	3D1	209310.7
3807.29	Xe	II	3	-	5p4.(1D2).6s	2[2]3/2	112924.84	5p4.(3P2).4f	2[3]°5/2	139182.58
3809.84	Xe	I	15	-	5p5.(2P°3/2).6s	2[3/2]°1	68045.156	5p5.(2P°3/2).9p	2[1/2]0	94285.5
3811.05	Xe	II	8	-	5p4.(3P2).5d	2[2]5/2	95396.74	5p4.(3P0).6p	2[1]°3/2	121628.82
3816.78	Xe	III	2	-	5s2.5p3.(2P°).5d	3D°1	155400.9	5s2.5p3.(2D°).4f	3F2	181593.7
3817.38	Xe	IV	2	-	5s.5p4	2P1/2	177951.1	5s2.5p2.(3P).6p	4P°3/2	204140.0
3823.15	Xe	III	1	-	5s2.5p3.(2P°).5d	3P°1	140730.93	5s2.5p3.(4S°).4f	5F2	166880.09
3823.74	Xe	I	4	-	5p5.(2P°3/2).6s	2[3/2]°1	68045.156	5p5.(2P°3/2).9p	2[3/2]2	94190.24
3826.86	Xe	I	6	-	5p5.(2P°3/2).6s	2[3/2]°1	68045.156	5p5.(2P°3/2).9p	2[3/2]1	94168.86
3827.98	Xe	V	4	-	5s2.5p.(2P°).5d	3F°3	160630.4	5s2.5p.(2P°).4f	3G3	186746.7
3828.89	Xe	V	2	-	5s2.5p.(2P°).6s	3P°2	209068.9	5s2.5p.(2P°).6p	3D2	235178.9
3829.71	Xe	III	2	-	5s2.5p3.(4S°).4f	3F4	173946.53	5s2.5p3.(2D°).6d	3G°4	200050.6
3829.77	Xe	II	2	-	5p4.(3P2).6p	2[2]°5/2	111958.89	5p4.(1S0).5d	2[2]3/2	138062.59
3837.71	Xe	IV	3	-	5s2.5p2.(1D).5d	2P3/2	182571.0	5s2.5p2.(3P).4f	2F°5/2	208621.1
3841.53	Xe	III	5	-	5s2.5p3.(2D°).6s	3D°2	134667.42	5s2.5p3.(2D°).6p	3F2	160691.3
3841.87	Xe	III	4	-	5s2.5p3.(2D°).5d	3D°2	142064.27	5s2.5p3.(2D°).6p	3P1	168086.0
3847.4	Xe	III	2	-	5s2.5p3.(2P°).5d	3D°3	156392.68	5s2.5p3.(2D°).4f	3D3	182377.01
3848.58	Xe	II	1	-	5p4.(3P2).5d	2[0]1/2	105947.55	5p4.(1D2).6p	2[2]°3/2	131923.79
3849.87	Xe	II	10	-	5p4.(3P2).6p	2[1]°1/2	113672.89	5p4.(3P2).6d	2[1]3/2	139640.43
3854.28	Xe	III	3	-	5s2.5p3.(2D°).5d	3F°3	126119.77	5s2.5p3.(4S°).6p	3P2	152057.72
3858.53	Xe	II	4	-	5s.5p6	2S1/2	90873.83	5p4.(3P2).6p	2[1]°3/2	116783.09
3861.04	Xe	III	4	-	5s2.5p3.(2P°).5d	1D°2	136367.48	5s2.5p3.(2D°).6p	3D2	162259.97
3861.51	Xe	III	1	-	5s2.5p3.(2P°).6p	3D2	177955.93	5s2.5p3.(2D°).6d	1F°3	203845.36
3869.63	Xe	II	4	-	5p4.(3P1).6s	2[1]1/2	106906.12	5p4.(1D2).6p	2[1]°1/2	132741.15
3877.82	Xe	III	4	-	5s2.5p3.(2D°).6s	3D°3	138658.2	5s2.5p3.(2D°).6p	1F3	164438.64
