λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3818.341	Y	II	240	-	4d.5s	a 3D2	1045.076	4d.5p	z 3F°2	27227.027
3832.889	Y	II	390	1	4d.5s	a 3D3	1449.752	4d.5p	z 3F°3	27532.321
3848.05	Y	II	20	-	4d.5p	y 3P°2	32283.42	5s.6s	e 3S1	58263.238
3866.96	Y	III	35	-						
3878.285	Y	II	75	-	4d.5s	a 3D3	1449.752	4d.5p	z 3F°2	27227.027
3887.7648	Y	I	15	-	5s2.5p	z 2P°3/2	11359.757	4d.5s.(1D).6s	f 2D5/2	37074.19
3900.74	Y	III	195	1						
3904.5961	Y	I	15	-	4d.5s.(3D).5p	z 2D°5/2	16066.064	4d.5s.(1D).5d	2D5/2	41669.657
3914.58	Y	III	240	1						
3918.1682	Y	I	5	-	4d2.(3F).5s	a 4F3/2	10937.39	4d2.(1D).5p	w 2D°3/2	36452.295
3918.248	Y	I	30	-	4d.5s.(3D).5p	z 2D°3/2	16146.138	4d.5s.(1D).5d	2D3/2	41660.521
3930.098	Y	I	15	-	4d.5s.(3D).5p	z 2D°5/2	16066.064	4d.5s.(3D).5d	2D5/2	41503.538
3930.658	Y	II	120	1	4d.5s	a 1D2	3296.18	4d.5p	z 3D°2	28730.01
3950.349	Y	II	480	3	4d.5s	a 3D1	840.198	4d.5p	z 1D°2	26147.252
3951.59	Y	II	40	-	4d.5s	a 1D2	3296.18	4d.5p	z 3D°1	28595.285
3955.085	Y	I	10	-	4d.5s.(3D).5p	z 2D°3/2	16146.138	4d.5s.(3D).5d	2D3/2	41422.889
3982.592	Y	II	480	4	4d.5s	a 3D2	1045.076	4d.5p	z 1D°2	26147.252
3987.4804	Y	I	15	-	5s2.5p	z 2P°3/2	11359.757	4d.5s.(3D).6s	f 2D5/2	36431.165
3989.7799	Y	I	5	-	4d2.(3F).5s	a 4F5/2	11078.614	4d2.(3P).5p	z 4S°3/2	36135.567
4039.6	Y	III	270	6						
4039.826	Y	I	60	1	4d.5s2	a 2D3/2	0.0	4d.5s.(1D).5p	y 2D°5/2	24746.573
4040.11	Y	III	225	4						
4047.6284	Y	I	240	6	4d.5s2	a 2D3/2	0.0	4d.5s.(3D).5p	y 2P°1/2	24698.85
4077.359	Y	I	165	6	4d.5s2	a 2D3/2	0.0	4d.5s.(1D).5p	y 2F°5/2	24518.751
4081.1852	Y	I	15	1	4d2.(1G).5s	a 2G9/2	18499.315	4d2.(1G).5p	v 2F°7/2	42995.085
4083.705	Y	I	135	5	4d.5s2	a 2D3/2	0.0	4d.5s.(3D).5p	y 2P°3/2	24480.666
4086.2186	Y	I	3	-	4d.5s.(3D).5p	z 2F°5/2	21528.579	5p2.(3P).4d?	f 2P3/2	45994.176
4102.364	Y	I	300	17	4d.5s2	a 2D5/2	530.351	4d.5s.(1D).5p	y 2F°7/2	24899.632
4106.3842	Y	I	15	1	4d2.(1G).5s	a 2G7/2	18512.402	4d2.(1G).5p	v 2F°5/2	42857.855
4110.805	Y	I	15	1	4d.5s.(3D).5p	z 4F°5/2	15245.803	4d.5s.(3D).5d	e 4F5/2	39565.085
4121.61	Y	III	4	-						
4124.904	Y	II	55	4	4d.5s	a 1D2	3296.18	4d.5p	z 3F°3	27532.321
4128.304	Y	I	525	51	4d.5s2	a 2D5/2	530.351	4d.5s.(1D).5p	y 2D°5/2	24746.573
4142.841	Y	I	615	71	4d.5s2	a 2D3/2	0.0	4d.5s.(1D).5p	y 2D°3/2	24131.25
4157.624	Y	I	20	3	4d.5s.(3D).5p	z 4F°7/2	15712.522	4d.5s.(3D).5d	e 4F7/2	39757.942
4167.5131	Y	I	660	122	4d.5s2	a 2D5/2	530.351	4d.5s.(1D).5p	y 2F°5/2	24518.751
4174.1332	Y	I	1500	263	4d.5s2	a 2D5/2	530.351	4d.5s.(3D).5p	y 2P°3/2	24480.666
4177.528	Y	II	705	149	4d.5s	a 1D2	3296.18	4d.5p	z 3F°2	27227.027
4199.273	Y	II	25	7	4d.5s	a 3D1	840.198	5s.5p	z 3P°2	24647.121
4204.692	Y	II	165	46	5s2	a 1S0	0.0	5s.5p	z 3P°1	23776.245
4213.018	Y	I	60	18	4d.5s.(3D).5p	z 4F°9/2	16234.382	4d.5s.(3D).5d	2F7/2	39963.658
4213.524	Y	I	50	15	4d.5s.(3D).5p	z 4F°3/2	14948.994	4d.5s.(3D).5d	f 4D5/2	38675.424
4217.799	Y	I	135	44	5s2.5p	z 2P°1/2	10529.169	5s2.(2D).5d	e 2D3/2	34231.544
4220.629	Y	I	210	68	4d.5s.(3D).5p	z 4F°3/2	14948.994	4d.5s.(3D).5d	e 4G5/2	38635.481
4224.2529	Y	I	70	23	4d.5s.(3D).5p	z 4F°9/2	16234.382	4d.5s.(3D).5d	e 4F9/2	39900.541
4232.5412	Y	I	40	15	4d.5s.(3D).5p	z 4F°5/2	15245.803	4d.5s.(3D).5d	f 4D7/2	38865.618
4235.727	Y	II	255	99	4d.5s	a 3D2	1045.076	5s.5p	z 3P°2	24647.121
4235.929	Y	I	780	297	4d.5s2	a 2D5/2	530.351	4d.5s.(1D).5p	y 2D°3/2	24131.25
4251.201	Y	I	180	74	4d.5s.(3D).5p	z 4F°5/2	15245.803	4d.5s.(3D).5d	e 4G7/2	38761.956
4302.2899	Y	I	600	277	4d.5s.(3D).5p	z 4F°7/2	15712.522	4d.5s.(3D).5d	e 4G9/2	38949.421
4309.62	Y	II	975	451	4d.5s	a 3D3	1449.752	5s.5p	z 3P°2	24647.121
4316.3032	Y	I	50	22	5s2.5p	z 2P°3/2	11359.757	5p2.(3P).5s	e 4P5/2	34521.221
4317.8631	Y	I	1	1	4d.5s.(3D).5p	z 4F°7/2	15712.522	4d.5s.(3D).5d	f 4D7/2	38865.618
4330.7703	Y	I	45	21	5s2.5p	z 2P°1/2	10529.169	4d3	2P1/2	33613.25
4337.275	Y	I	25	11	4d.5s.(3D).5p	z 4F°7/2	15712.522	4d.5s.(3D).5d	e 4G7/2	38761.956
4344.6355	Y	I	25	12	4d.5s.(3D).5p	z 4D°1/2	16435.907	4d.5s.(3D).5d	e 4F3/2	39446.322
4348.783	Y	I	555	260	4d.5s.(3D).5p	z 4F°9/2	16234.382	4d.5s.(3D).5d	e 4G11/2	39222.861
4352.322	Y	I	30	14	4d2.(3F).5s	a 4F7/2	11277.928	4d2.(3F).5p	x 2D°5/2	34247.727
4352.703	Y	I	40	19	4d.5s.(3D).5p	z 4D°3/2	16597.304	4d.5s.(3D).5d	e 4F5/2	39565.085
4357.726	Y	I	60	29	4d.5s.(3D).5p	z 4D°5/2	16816.641	4d.5s.(3D).5d	e 4F7/2	39757.942
4358.723	Y	II	375	177	4d.5s	a 3D1	840.198	5s.5p	z 3P°1	23776.245
4366.0235	Y	I	135	65	5s2.5p	z 2P°3/2	11359.757	5s2.(2D).5d	e 2D5/2	34257.447
4374.933	Y	II	2000	917	4d.5s	a 1D2	3296.18	4d.5p	z 1D°2	26147.252
4375.614	Y	I	55	25	4d.5s.(3D).5p	z 4D°7/2	17116.156	4d.5s.(3D).5d	2F7/2	39963.658
4379.327	Y	I	55	26	4d2.(3F).5s	a 4F5/2	11078.614	4d2.(3F).5p	x 2D°3/2	33906.761
4385.474	Y	I	30	14	5s2.5p	z 2P°3/2	11359.757	5p2.(3P).5s	e 4P3/2	34155.912
4387.738	Y	I	30	15	4d.5s.(3D).5p	z 4D°7/2	17116.156	4d.5s.(3D).5d	e 4F9/2	39900.541
4394.007	Y	I	20	9	4d2.(3F).5s	a 4F7/2	11277.928	4d2.(3F).5p	x 2F°7/2	34029.802
4394.669	Y	I	10	6	4d.5s.(3D).5p	z 4D°5/2	16816.641	4d.5s.(3D).5d	e 4F5/2	39565.085
4398.008	Y	II	825	388	4d.5s	a 3D2	1045.076	5s.5p	z 3P°1	23776.245
4417.4307	Y	I	8	4	4d.5s.(3D).5p	z 4F°9/2	16234.382	4d.5s.(3D).5d	f 4D7/2	38865.618
4422.583	Y	II	255	121	4d.5s	a 3D1	840.198	5s.5p	z 3P°0	23445.063
4437.3402	Y	I	30	14	4d2.(3F).5s	a 4F5/2	11078.614	4d2.(3F).5p	x 2F°5/2	33608.312
4443.652	Y	I	30	15	4d2.(3F).5s	a 4F9/2	11532.096	4d2.(3F).5p	x 2F°7/2	34029.802
4446.6226	Y	I	35	16	5s2.5p	z 2P°3/2	11359.757	4d3	2P3/2	33842.417
4459.01	Y	I	9	4	4d2.(3F).5s	a 4F3/2	10937.39	4d2.(3F).5p	y 4D°5/2	33357.608
4465.267	Y	I	80	38						
4472.3218	Y	I	15	7	4d2.(3F).5s	a 4F5/2	11078.614	4d2.(3F).5p	z 2G°7/2	33432.092
4473.8756	Y	I	45	21	4d.5s.(3D).5p	z 2D°5/2	16066.064	4d3	2F7/2	38411.771
4475.721	Y	I	105	51	4d2.(3F).5s	a 4F7/2	11277.928	4d2.(3F).5p	y 4D°7/2	33614.445
4476.951	Y	I	150	74	4d2.(3F).5s	a 4F7/2	11277.928	4d2.(3F).5p	x 2F°5/2	33608.312
4477.4424	Y	I	135	67	4d2.(3F).5s	a 4F3/2	10937.39	4d2.(3F).5p	y 4D°3/2	33265.298
4484.4389	Y	I	35	16	4d2.(3F).5s	a 2F5/2	15326.741	4d2.(1D).5p	w 2F°7/2	37619.829
4487.279	Y	I	105	49	4d2.(3F).5s	a 4F5/2	11078.614	4d2.(3F).5p	y 4D°5/2	33357.608
4487.46	Y	I	135	65	4d2.(3F).5s	a 4F3/2	10937.39	4d2.(3F).5p	y 4D°1/2	33215.444
4491.7396	Y	I	65	32	4d2.(3F).5s	a 4F9/2	11532.096	4d2.(3F).5p	z 2G°9/2	33788.956
4492.4181	Y	I	50	24	5s2.5p	z 2P°3/2	11359.757	4d3	2P1/2	33613.25
4505.948	Y	I	570	280	4d2.(3F).5s	a 4F5/2	11078.614	4d2.(3F).5p	y 4D°3/2	33265.298
4513.5745	Y	I	40	19	4d2.(3F).5s	a 2F5/2	15326.741	4d2.(3P).5p	y 4P°5/2	37475.922
4514.007	Y	I	45	23	4d2.(3P).5s	a 4P3/2	15328.865	4d2.(3P).5p	y 4P°5/2	37475.922
4522.029	Y	I	25	13	4d.5s.(3D).5p	z 4D°1/2	16435.907	4d.5s.(3D).5d	f 4D3/2	38543.685
4527.239	Y	I	660	328	4d2.(3F).5s	a 4F9/2	11532.096	4d2.(3F).5p	y 4D°7/2	33614.445
4527.783	Y	I	540	269	4d2.(3F).5s	a 4F7/2	11277.928	4d2.(3F).5p	y 4D°5/2	33357.608
4534.0869	Y	I	40	21	4d.5s.(3D).5p	z 4D°5/2	16816.641	4d.5s.(3D).5d	f 4D7/2	38865.618
4544.306	Y	I	50	24	4d2.(3P).5s	a 4P5/2	15476.533	4d2.(3P).5p	y 4P°5/2	37475.922
4559.362	Y	I	35	19	4d2.(3P).5s	a 4P1/2	15221.633	4d2.(3P).5p	y 4P°3/2	37148.377
4564.3913	Y	I	25	11	5s2.5p	z 2P°1/2	10529.169	4d3 1	2D3/2	32431.765
4564.9334	Y	I	10	6	4d2.(3F).5s	a 4F9/2	11532.096	4d2.(3F).5p	z 2G°7/2	33432.092
4573.537	Y	I	20	10	4d.5s.(3D).5p	z 4D°5/2	16816.641	4d.5s.(3D).5d	f 4D5/2	38675.424
4581.325	Y	I	15	7	4d2.(3F).5s	a 2F5/2	15326.741	4d2.(3P).5p	y 4P°3/2	37148.377
4581.7711	Y	I	15	7	4d2.(3P).5s	a 4P3/2	15328.865	4d2.(3P).5p	y 4P°3/2	37148.377
4582.16	Y	I	10	5	4d2.(3P).5s	a 4P1/2	15221.633	4d2.(3P).5p	y 4P°1/2	37039.285
4596.528	Y	I	50	25	4d.5s.(3D).5p	z 4D°7/2	17116.156	4d.5s.(3D).5d	f 4D7/2	38865.618
4604.793	Y	I	45	23	4d2.(3P).5s	a 4P3/2	15328.865	4d2.(3P).5p	y 4P°1/2	37039.285
4612.9908	Y	I	20	10	4d2.(3P).5s	a 4P5/2	15476.533	4d2.(3P).5p	y 4P°3/2	37148.377
4643.698	Y	I	1000	600	4d.5s2	a 2D3/2	0.0	4d.5s.(3D).5p	z 2F°5/2	21528.579
4653.7843	Y	I	25	13	4d2.(1D).5s	b 2D3/2	15994.045	4d2.(3P).5p	y 4P°5/2	37475.922
4658.3186	Y	I	180	103	4d2.(1D).5s	b 2D5/2	16158.865	4d2.(1D).5p	w 2F°7/2	37619.829
4658.882	Y	I	60	34	4d.5s.(3D).5p	z 2D°5/2	16066.064	4d3 2	2D5/2	37524.441
4670.852	Y	I	40	21	4d.5s.(3D).5p	z 2D°3/2	16146.138	4d3 2	2D3/2	37549.522
4674.848	Y	I	1000	702	4d.5s2	a 2D5/2	530.351	4d.5s.(3D).5p	z 2F°7/2	21915.432
4678.3566	Y	I	25	14	4d.5s.(3D).5p	z 4P°5/2	19147.983	4d.5s.(3D).5d	f 4P5/2	40517.03
4682.321	Y	II	1000	689	4d.5s	a 1D2	3296.18	5s.5p	z 3P°2	24647.121
4689.767	Y	I	60	33	4d2.(1D).5s	b 2D5/2	16158.865	4d2.(3P).5p	y 4P°5/2	37475.922
4694.5524	Y	I	10	7	4d.5s.(3D).5p	y 2P°1/2	24698.85	5p2.(3P).4d?	f 2P3/2	45994.176
4696.799	Y	I	35	20	4d2.(1D).5s	b 2D3/2	15994.045	4d2.(1D).5p	w 2F°5/2	37279.183
4708.8513	Y	I	30	19	4d2.(3P).5s	a 4P1/2	15221.633	4d2.(1D).5p	w 2D°3/2	36452.295
4725.8417	Y	I	40	26	4d2.(1D).5s	b 2D3/2	15994.045	4d2.(3P).5p	y 4P°3/2	37148.377
4728.514	Y	I	630	379	5s2.5p	z 2P°1/2	10529.169	5s2.6s	e 2S1/2	31671.539
4732.2796	Y	I	10	7	4d2.(3F).5s	a 2F5/2	15326.741	4d2.(1D).5p	w 2D°3/2	36452.295
