λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3839.91	Yb	I	25	-						
3872.85	Yb	I	85	-						
3879.98	Yb	III	195	-						
3882.58	Yb	III	105	-						
3887.17	Yb	III	300	1						
3896.55	Yb	III	1500	5						
3900.85	Yb	I	345	1						
3904.81	Yb	II	1005	3						
3911.27	Yb	I	45	-						
3912.75	Yb	III	120	-						
3913.23	Yb	III	150	-						
3931.23	Yb	III	2500	9						
3985.56	Yb	III	255	2						
3987.99	Yb	I	2500	21	4f14.6s2	1S0	0.0	4f14.6s.6p	1P°1	25068.222
3990.88	Yb	I	150	1	4f14.6s.6p	3P°2	19710.388	4f14.6p2	3P2	44760.37
3991.74	Yb	III	25	-						
3997.67	Yb	III	30	-						
4007.36	Yb	I	20	-						
4028.14	Yb	III	55	1						
4033.03	Yb	III	80	1						
4052.28	Yb	I	90	2						
4074.53	Yb	III	20	1						
4077.28	Yb	II	990	39						
4089.68	Yb	I	420	20						
4090.67	Yb	III	165	8						
4098.23	Yb	III	135	8						
4119.25	Yb	II	25	2						
4121.06	Yb	III	90	7						
4135.09	Yb	II	510	58						
4149.07	Yb	I	345	47						
4150.04	Yb	III	150	21						
4153.11	Yb	III	255	35						
4162.72	Yb	III	2000	345						
4172.95	Yb	III	1500	276						
4174.56	Yb	I	315	59						
4180.81	Yb	II	3500	712						
4194.34	Yb	III	570	137						
4194.95	Yb	III	2000	455						
4198.74	Yb	III	180	48						
4213.64	Yb	III	3000	978						
4218.56	Yb	II	810	268						
4218.69	Yb	I	240	80						
4220.83	Yb	III	90	29						
4231.07	Yb	III	135	51						
4231.97	Yb	I	285	103						
4277.74	Yb	I	450	198						
4289.64	Yb	III	450	201						
4301.14	Yb	III	930	426						
4304.01	Yb	III	855	393						
4305.97	Yb	I	1000	474						
4316.95	Yb	II	3000	1338						
4350.8	Yb	III	420	197						
4380.07	Yb	III	270	126						
4393.69	Yb	I	390	182						
4430.21	Yb	I	915	439						
4439.19	Yb	I	4500	2182						
4482.42	Yb	I	1000	551						
4515.16	Yb	II	1000	492						
4517.58	Yb	III	945	465						
4553.58	Yb	II	2000	952						
4563.95	Yb	I	1500	878						
4576.21	Yb	I	5500	2774	4f14.6s.6p	3P°1	17992.007	4f14.6s.6d	3D2	39838.04
4582.36	Yb	I	4500	2391						
4589.21	Yb	I	2000	921						
4590.83	Yb	I	2000	1003						
4598.36	Yb	II	2500	1295						
4639.14	Yb	III	375	206						
4683.81	Yb	II	195	114						
4684.27	Yb	I	50	29						
4726.08	Yb	II	3000	1702						
4781.87	Yb	I	1000	695						
4786.61	Yb	II	4500	2924						
4816.43	Yb	I	675	452						
4820.24	Yb	II	2000	1369						
4834.93	Yb	III	255	173						
4836.96	Yb	II	3000	2129						
4837.46	Yb	I	315	212						
4851.15	Yb	II	240	165						
4894.6	Yb	I	225	157						
4912.36	Yb	I	80	58						
4935.5	Yb	I	4500	3201	4f14.6s.6p	3P°2	19710.388	4f14.6s.6d	3D3	39966.09
4937.22	Yb	II	1500	1274						
4966.9	Yb	I	315	241						
5009.52	Yb	II	495	394						
5054.94	Yb	III	150	126						
5067.3	Yb	II	70	58						
5067.8	Yb	I	135	116						
5069.14	Yb	I	435	358						
5074.34	Yb	I	3000	2592						
5076.74	Yb	I	810	673						
5135.98	Yb	II	690	588						
5147.02	Yb	II	525	457						
5184.15	Yb	II	285	258						
5196.08	Yb	I	195	172						
5211.6	Yb	I	375	340						
5240.51	Yb	II	330	305						
5244.11	Yb	I	405	377						
5256.85	Yb	III	285	268						
5257.49	Yb	II	810	743						
5277.04	Yb	I	1500	1509						
5279.53	Yb	II	795	750						
5300.94	Yb	II	465	439						
5331.54	Yb	III	375	365						
5335.15	Yb	II	3000	2715						
5345.66	Yb	II	705	680						
5345.83	Yb	II	360	340						
5347.22	Yb	II	1500	1362						
5351.29	Yb	I	360	342						
5352.95	Yb	II	2000	1713						
5358.64	Yb	II	720	695						
5363.66	Yb	I	180	176						
5389.84	Yb	II	240	233						
5432.71	Yb	II	1000	1181						
5449.27	Yb	II	1000	1213						
5478.5	Yb	II	480	475						
5481.92	Yb	I	450	451						
5505.49	Yb	I	270	275						
5524.54	Yb	I	60	58						
5539.05	Yb	I	1000	1042						
5556.47	Yb	I	7500	7444	4f14.6s2	1S0	0.0	4f14.6s.6p	3P°1	17992.007
5562.09	Yb	I	30	30						
5568.11	Yb	I	105	101						
5586.36	Yb	I	105	112						
5588.45	Yb	II	570	570						
5651.98	Yb	II	645	644						
5686.53	Yb	II	85	81						
5719.99	Yb	I	1500	1360						
5740.83	Yb	III	150	145						
5749.91	Yb	II	90	84						
5755.89	Yb	I	135	126						
5771.66	Yb	II	450	424						
5803.44	Yb	I	150	134						
5819.41	Yb	II	1000	997						
5833.99	Yb	II	780	715						
5837.14	Yb	II	2000	1868						
5854.51	Yb	I	555	497						
5897.21	Yb	II	3000	2425						
5908.36	Yb	II	765	654						
5949.02	Yb	III	165	134						
5973.05	Yb	III	285	227						
5989.33	Yb	I	165	129						
5991.51	Yb	II	2000	1416						
6052.88	Yb	II	255	191						
6054.57	Yb	I	85	64						
6055.85	Yb	III	615	456						
6152.57	Yb	II	945	613						
6214.22	Yb	III	585	349						
6246.97	Yb	II	1000	568						
6274.78	Yb	II	1500	870						
6308.15	Yb	II	150	71						
6328.52	Yb	III	630	296						
6365.88	Yb	III	50	22						
6378.33	Yb	III	930	398						
6400.35	Yb	I	1500	599						
6417.91	Yb	I	1000	394						
6432.73	Yb	II	330	128						
6463.15	Yb	II	825	290						
6466.33	Yb	III	375	127						
6489.06	Yb	I	4500	1427						
6643.55	Yb	I	255	55						
6667.82	Yb	I	5000	999						
6678.17	Yb	I	105	20						
6727.61	Yb	II	420	67						
6768.7	Yb	I	510	70						
6799.6	Yb	I	7000	846	4f14.6s.6p	3P°1	17992.007	4f14.6s.7s	3S1	32694.692
6934.05	Yb	II	150	11						
6985.15	Yb	III	240	13						
6999.88	Yb	II	150	8						
7037.04	Yb	III	135	6						
7043.78	Yb	II	80	4						
7157.72	Yb	III	210	5						
7244.41	Yb	I	150	2						
7305.22	Yb	I	100	1						
7311.02	Yb	III	120	1						
7313.05	Yb	I	135	1						
7350.04	Yb	I	240	2						
7399.98	Yb	III	105	1						
7410.01	Yb	III	825	5						
7448.28	Yb	I	150	1						
7456.86	Yb	III	135	1						
7527.46	Yb	I	330	1						
