λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3806.344	Zn	II	80	-	3d10.5p	2P°1/2	101365.9	3d10.6d	2D3/2	127630.6
3840.29	Zn	II	270	-	3d10.5p	2P°3/2	101611.4	3d10.6d	2D5/2	127643.7
3879.141	Zn	I	5	-	3d10.4s.4p	1P°1	46745.4032	3d10.4s.7d	1D2	72517.0
3883.34	Zn	I	270	1						
3965.43	Zn	I	80	1	3d10.4s.4p	1P°1	46745.4032	3d10.4s.8s	1S0	71956.23
4078.14	Zn	II	25	1	3d10.5p	2P°1/2	101365.9	3d10.7s	2S1/2	125880.0
4113.21	Zn	I	60	4	3d10.4s.4p	1P°1	46745.4032	3d10.4s.6d	1D2	71051.04
4119.39	Zn	II	50	4	3d10.5p	2P°3/2	101611.4	3d10.7s	2S1/2	125880.0
4292.8836	Zn	I	615	275	3d10.4s.4p	3P°1	32501.399	3d10.4s.5s	1S0	55789.216
4298.3249	Zn	I	510	236	3d10.4s.4p	1P°1	46745.4032	3d10.4s.7s	1S0	70003.737
4553.27	Zn	I	35	19	3d10.4s.5s	3S1	53672.2398	3d10.4s.30p	1P°1	75628.35
4555.49	Zn	I	45	23	3d10.4s.5s	3S1	53672.2398	3d10.4s.29p	1P°1	75617.66
4557.96	Zn	I	65	33	3d10.4s.5s	3S1	53672.2398	3d10.4s.28p	1P°1	75605.76
4560.74	Zn	I	60	30	3d10.4s.5s	3S1	53672.2398	3d10.4s.27p	1P°1	75592.39
4563.89	Zn	I	65	32	3d10.4s.5s	3S1	53672.2398	3d10.4s.26p	1P°1	75577.26
4567.45	Zn	I	75	38	3d10.4s.5s	3S1	53672.2398	3d10.4s.25p	1P°1	75560.15
4571.55	Zn	I	85	43	3d10.4s.5s	3S1	53672.2398	3d10.4s.24p	1P°1	75540.55
4576.24	Zn	I	75	39	3d10.4s.5s	3S1	53672.2398	3d10.4s.23p	1P°1	75518.17
4581.67	Zn	I	55	29	3d10.4s.5s	3S1	53672.2398	3d10.4s.22p	1P°1	75492.25
4587.95	Zn	I	35	19	3d10.4s.5s	3S1	53672.2398	3d10.4s.21p	1P°1	75462.3
4595.42	Zn	I	20	11	3d10.4s.5s	3S1	53672.2398	3d10.4s.20p	1P°1	75426.98
4604.22	Zn	I	15	8	3d10.4s.5s	3S1	53672.2398	3d10.4s.19p	1P°1	75385.31
4614.83	Zn	I	15	7	3d10.4s.5s	3S1	53672.2398	3d10.4s.18p	1P°1	75335.49
4627.69	Zn	I	15	8	3d10.4s.5s	3S1	53672.2398	3d10.4s.17p	1P°1	75275.27
4629.8081	Zn	I	540	295	3d10.4s.4p	1P°1	46745.4032	3d10.4s.5d	1D2	68338.5233
4643.51	Zn	I	15	7	3d10.4s.5s	3S1	53672.2398	3d10.4s.16p	1P°1	75201.65
4665.59	Zn	I	9	5	3d10.4s.5s	3S1	53672.2398	3d10.4s.15p	3P°2	75099.76
4680.1359	Zn	I	3500	1896	3d10.4s.4p	3P°0	32311.3176	3d10.4s.5s	3S1	53672.2398
4691.43	Zn	I	10	6	3d10.4s.5s	3S1	53672.2398	3d10.4s.14p	3P°2	74981.74
4722.1569	Zn	I	5000	2909	3d10.4s.4p	3P°1	32501.399	3d10.4s.5s	3S1	53672.2398
4725.27	Zn	I	10	8	3d10.4s.5s	3S1	53672.2398	3d10.4s.13p	3P°2	74829.13
4770.71	Zn	I	8	5	3d10.4s.5s	3S1	53672.2398	3d10.4s.12p	3P°2	74627.62
4810.5321	Zn	I	4500	3011	3d10.4s.4p	3P°2	32890.3267	3d10.4s.5s	3S1	53672.2398
4911.6269	Zn	II	150	106	3d10.4d	2D3/2	96909.74	3d10.4f	2F°5/2	117264.0
4924.0132	Zn	II	150	109	3d10.4d	2D5/2	96960.4	3d10.4f	2F°7/2	117263.4
5068.65	Zn	I	10	10	3d10.4s.5s	3S1	53672.2398	3d10.4s.9p	3P°2	73395.84
5069.5	Zn	I	25	21	3d10.4s.5s	3S1	53672.2398	3d10.4s.9p	3P°1	73392.83
5069.98	Zn	I	60	49	3d10.4s.5s	3S1	53672.2398	3d10.4s.9p	3P°0	73390.69
5181.9819	Zn	I	270	243	3d10.4s.4p	1P°1	46745.4032	3d10.4s.6s	1S0	66037.6663
5308.64	Zn	I	15	14	3d10.4s.5s	3S1	53672.2398	3d10.4s.8p	3P°2	72504.16
5310.24	Zn	I	15	12	3d10.4s.5s	3S1	53672.2398	3d10.4s.8p	3P°1	72498.78
5311.02	Zn	I	15	12	3d10.4s.5s	3S1	53672.2398	3d10.4s.8p	3P°0	72495.8
5772.1	Zn	I	15	16	3d10.4s.5s	3S1	53672.2398	3d10.4s.7p	3P°2	70992.304
5775.5	Zn	I	15	16	3d10.4s.5s	3S1	53672.2398	3d10.4s.7p	3P°1	70982.101
5777.11	Zn	I	65	59	3d10.4s.5s	3S1	53672.2398	3d10.4s.7p	3P°0	70977.365
5894.3607	Zn	II	60	53	3d10.4p	2P°1/2	48481.0	3d9.4s2	2D3/2	65441.64
6021.18	Zn	II	35	25	3d10.5p	2P°1/2	101365.9	3d10.5d	2D3/2	117969.32
6102.49	Zn	II	55	39	3d10.5p	2P°3/2	101611.4	3d10.5d	2D5/2	117993.61
6111.53	Zn	II	30	20	3d10.5p	2P°3/2	101611.4	3d10.5d	2D3/2	117969.32
6214.5778	Zn	II	40	23	3d10.4p	2P°3/2	49355.04	3d9.4s2	2D3/2	65441.64
6237.896	Zn	I	25	14	3d10.4s.4p	1P°1	46745.4032	3d10.4s.4d	3D2	62772.0144
6239.169	Zn	I	25	14	3d10.4s.4p	1P°1	46745.4032	3d10.4s.4d	3D1	62768.7462
6362.3458	Zn	I	2500	1219	3d10.4s.4p	1P°1	46745.4032	3d10.4s.4d	1D2	62458.5323
6479.184	Zn	I	25	8	3d10.4s.5s	1S0	55789.216	3d10.4s.7p	1P°1	71218.994
6928.316	Zn	I	45	3	3d10.4s.5s	3S1	53672.2398	3d10.4s.6p	3P°2	68101.825
6938.469	Zn	I	25	2	3d10.4s.5s	3S1	53672.2398	3d10.4s.6p	3P°1	68080.708
6943.199	Zn	I	9	1	3d10.4s.5s	3S1	53672.2398	3d10.4s.6p	3P°0	68070.882
7478.7691	Zn	II	270	1	3d10.4p	2P°3/2	49355.04	3d9.4s2	2D5/2	62722.45
7588.4648	Zn	II	270	-	3d10.5s	2S1/2	88437.15	3d10.5p	2P°3/2	101611.4
