λ, Å	E.	Sp.#	Rel.Int.	EVB	Lower Config	Lower Term+J	Lower Level	Upper Config	Upper Term+J	Upper Level
3817.58	Zr	II	10	-						
3820.199	Zr	III	5	-	4d.4f	3G°3	122020.43	4d.(2D5/2).5g	2[7/2]3	148189.67
3822.41	Zr	I	10	-						
3824.605	Zr	III	240	-	4d.4f	3H°4	120664.52	4d.(2D3/2).5g	2[9/2]5	146803.55
3827.717	Zr	III	285	-	4d.4f	3F°3	120794.02	4d.(2D3/2).5g	2[7/2]4	146911.81
3829.231	Zr	III	5	-	4d.4f	3H°5	121021.92	4d.(2D3/2).5g	2[11/2]6	147129.42
3830.088	Zr	III	240	-	4d.4f	1D°2	122088.01	4d.(2D5/2).5g	2[7/2]3	148189.67
3835.96	Zr	I	25	-						
3836.76	Zr	II	20	-						
3837.026	Zr	III	9	-	4d.4f	3G°3	122020.43	4d.(2D5/2).5g	2[9/2]4	148074.81
3842.402	Zr	III	255	-	4d.4f	3F°3	120794.02	4d.(2D3/2).5g	2[9/2]4	146812.05
3843.02	Zr	II	35	-						
3847.01	Zr	I	9	-						
3849.25	Zr	I	9	-						
3863.87	Zr	I	15	-						
3864.34	Zr	I	40	-						
3877.6	Zr	I	8	-						
3879.05	Zr	I	8	-						
3885.42	Zr	I	20	-						
3890.32	Zr	I	105	-						
3891.38	Zr	I	75	-						
3900.52	Zr	I	60	-						
3907.619	Zr	III	2	-	4d.4f	3G°4	122609.53	4d.(2D5/2).5g	2[7/2]4	148193.27
3910.783	Zr	III	1	-	4d.4f	3G°5	122896.37	4d.(2D5/2).5g	2[13/2]6	148459.44
3915.94	Zr	II	10	-						
3916.925	Zr	III	30	-	4d.4f	3F°4	121280.57	4d.(2D3/2).5g	2[9/2]5	146803.55
3920.624	Zr	III	105	-	4d.4f	3G°4	122609.53	4d.(2D5/2).5g	2[11/2]5	148108.45
3921.79	Zr	I	35	-						
3925.799	Zr	III	40	-	4d.4f	3G°4	122609.53	4d.(2D5/2).5g	2[9/2]4	148074.81
3926.941	Zr	III	7	-	4d.4f	3G°4	122609.53	4d.(2D5/2).5g	2[9/2]5	148067.44
3929.53	Zr	I	25	-						
3931.476	Zr	III	20	-	5s.5p	3P°2	81557.85	4d.5d	3S1	106986.38
3934.12	Zr	II	5	-						
3934.79	Zr	II	4	-						
3958.22	Zr	II	120	1						
3963.171	Zr	III	100	1	4d.4f	3G°5	122896.37	4d.(2D5/2).5g	2[11/2]6	148121.51
3965.232	Zr	III	2	-	4d.4f	3G°5	122896.37	4d.(2D5/2).5g	2[11/2]5	148108.45
3968.26	Zr	I	25	-						
3971.69	Zr	III	40	-	4d.4f	3G°5	122896.37	4d.(2D5/2).5g	2[9/2]5	148067.44
3973.5	Zr	I	6	-						
3973.978	Zr	III	40	-	4d.4f	1D°2	122088.01	4d.(2D3/2).5g	2[5/2]3	147244.56
3975.29	Zr	I	10	-						
3981.6	Zr	I	3	-						
3988.538	Zr	III	3	-	4d.4f	3D°2	123404.87	4d.(2D5/2).5g	2[5/2]2	148469.61
3991.13	Zr	II	20	-						
3998.97	Zr	II	5	-						
4007.6	Zr	I	3	-						
4012.25	Zr	I	2	-						
4016.325	Zr	III	1	-	4d.4f	3G°3	122020.43	4d.(2D3/2).5g	2[7/2]4	146911.81
4016.95	Zr	III	1	-	4d.4f	3G°3	122020.43	4d.(2D3/2).5g	2[7/2]3	146907.91
4018.133	Zr	III	2	-	4d.4f	1F°3	123309.58	4d.(2D5/2).5g	2[7/2]3	148189.67
4023.98	Zr	I	2	-						
4024.92	Zr	I	2	-						
4027.2	Zr	I	8	-						
4028.95	Zr	I	3	-						
4029.68	Zr	II	4	-						
4030.04	Zr	I	3	-						
4035.89	Zr	I	5	-						
4036.782	Zr	III	30	1	4d.4f	1F°3	123309.58	4d.(2D5/2).5g	2[9/2]4	148074.81
4042.22	Zr	I	5	-						
4043.58	Zr	I	5	-						
4044.56	Zr	I	5	-						
4045.61	Zr	II	2	-						
4048.67	Zr	II	7	-						
4050.33	Zr	II	5	-						
4050.48	Zr	I	6	-						
4055.03	Zr	I	35	1						
4055.71	Zr	I	9	-						
4061.53	Zr	I	15	-						
4064.16	Zr	I	90	2						
4072.7	Zr	I	105	3						
4074.93	Zr	I	10	-						
4076.53	Zr	I	6	-						
4078.31	Zr	I	5	-						
4080.267	Zr	III	2	-	4d.4f	3G°4	122609.53	4d.(2D3/2).5g	2[11/2]5	147110.83
4081.22	Zr	I	55	2						
4087.111	Zr	III	35	2	4d.4f	3D°3	123965.78	4d.(2D5/2).5g	2[5/2]3	148426.02
4108.4	Zr	I	5	-						
4121.46	Zr	I	6	1						
4125.434	Zr	III	40	4	4d.4f	3G°5	122896.37	4d.(2D3/2).5g	2[11/2]6	147129.42
4126.381	Zr	III	80	8	4d.4f	3D°3	123965.78	4d.(2D5/2).5g	2[7/2]4	148193.27
4132.091	Zr	III	35	3	4d.4f	3G°4	122609.53	4d.(2D3/2).5g	2[9/2]5	146803.55
4137.435	Zr	IV	95	11	4p6.5d	2D3/2	146652.4	4p6.6p	2P°3/2	170815.11
4146.645	Zr	III	6	1	4d.4f	3D°3	123965.78	4d.(2D5/2).5g	2[9/2]4	148074.81
4149.2	Zr	II	35	5						
4152.64	Zr	I	10	1						
4156.24	Zr	II	10	2						
4160.826	Zr	III	75	12	4d.4f	3D°1	123341.25	4d.(2D3/2).5g	2[5/2]2	147368.16
4161.21	Zr	II	10	2						
4165.295	Zr	III	4	1	4d.4f	3P°2	124468.46	4d.(2D5/2).5g	2[5/2]2	148469.61
4166.36	Zr	I	15	2						
4171.353	Zr	III	6	1	4d.4f	3P°1	124686.87	4d.(2D5/2).5g	2[3/2]1	148653.15
4172.87	Zr	III	75	14	4d.4f	3P°2	124468.46	4d.(2D5/2).5g	2[5/2]3	148426.02
4183.32	Zr	I	15	3						
4187.56	Zr	I	3	1						
4193.502	Zr	III	45	11	4d.4f	3D°2	123404.87	4d.(2D3/2).5g	2[5/2]3	147244.56
4194.76	Zr	I	4	1						
4198.265	Zr	IV	40	11	4p6.5d	2D5/2	147002.46	4p6.6p	2P°3/2	170815.11
4199.09	Zr	I	55	15						
4201.46	Zr	I	6	2						
4203.547	Zr	III	25	7	4d.4f	3P°1	124686.87	4d.(2D5/2).5g	2[5/2]2	148469.61
4208.98	Zr	II	8	3						
4211.88	Zr	II	8	2						
4213.86	Zr	I	20	6						
4227.76	Zr	I	85	29						
4235.697	Zr	III	120	48	4d.4f	1F°3	123309.58	4d.(2D3/2).5g	2[7/2]4	146911.81
4236.06	Zr	I	4	1						
4239.31	Zr	I	45	17						
4240.34	Zr	I	45	17						
4241.2	Zr	I	45	17						
4241.69	Zr	I	45	18						
4268.02	Zr	I	40	16						
4282.2	Zr	I	30	14						
4294.79	Zr	I	45	20						
4302.89	Zr	I	120	54						
4317.081	Zr	IV	135	61	4p6.5d	2D3/2	146652.4	4p6.6p	2P°1/2	169809.71
4341.13	Zr	I	15	7						
4342.68	Zr	III	90	41	4d.4f	1H°5	125438.69	4d.(2D5/2).5g	2[13/2]6	148459.44
4347.89	Zr	I	8	4						
4359.74	Zr	II	8	4						
4360.81	Zr	I	30	13						
4366.45	Zr	I	80	38						
4379.78	Zr	II	390	186						
4407.387	Zr	III	85	41	4d.4f	1H°5	125438.69	4d.(2D5/2).5g	2[11/2]6	148121.51
4413.04	Zr	I	50	24						
4420.46	Zr	I	345	166						
4427.24	Zr	I	240	115						
4431.49	Zr	I	195	95						
4443.0	Zr	II	90	43						
4457.43	Zr	I	75	36						
4466.91	Zr	I	35	16						
4470.31	Zr	I	20	10						
4470.56	Zr	I	40	20						
4496.97	Zr	II	90	44						
4507.12	Zr	I	120	58						
4535.75	Zr	I	55	26						
4542.22	Zr	I	50	24						
4553.01	Zr	I	15	7						
4555.13	Zr	I	15	9						
4555.52	Zr	I	35	17						
4561.637	Zr	III	35	18	4d.4f	1P°1	126841.12	4d.(2D5/2).5g	2[3/2]2	148756.93
4569.247	Zr	IV	70	36	4p6.5g	2G9/2	206864.68	4p6.6h	2H°11/2	228743.87
4575.52	Zr	I	50	27						
4582.29	Zr	I	10	6						
4590.55	Zr	I	20	10						
4602.57	Zr	I	40	21						
4604.42	Zr	I	35	17						
4608.97	Zr	III	10	5	4d.4f	1H°5	125438.69	4d.(2D3/2).5g	2[11/2]6	147129.42
4626.41	Zr	I	20	10						
4633.98	Zr	I	465	250						
4644.83	Zr	I	50	28						
4683.42	Zr	I	20	11						
4687.8	Zr	I	180	103						
4688.45	Zr	I	70	42						
4707.79	Zr	I	10	7						
4710.08	Zr	I	105	64						
4711.92	Zr	I	25	13						
4717.62	Zr	I	7	4						
4719.12	Zr	I	9	6						
4732.33	Zr	I	45	26						
4739.48	Zr	I	150	95						
4762.78	Zr	I	15	11						
4772.31	Zr	I	195	119						
4784.92	Zr	I	85	54						
4788.67	Zr	I	25	15						
4805.87	Zr	I	45	31						
4809.47	Zr	I	25	16						
4815.04	Zr	I	45	28						
4815.63	Zr	I	120	76						
4824.29	Zr	I	70	47						
